title,url
2025 Annual Integrated Report,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/2025-integrated-annual-report.pdf
Absa Bank Kenya PLC Principles for Responsible Banking 2024 Report,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/principles-for-responsible-banking-report-2024.pdf
Absa Bank Kenya PLC integrated report 2024,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2024.pdf
Absa Bank Kenya PLC Principles for Responsible Banking 2023 Report,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/principles-for-responsible-banking-report-2023.pdf
Absa Bank Kenya PLC Climate Report 2023,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/2023-climate-report.pdf
Absa Bank Kenya PLC integrated report 2023,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2023.pdf
Absa Bank Kenya PLC 2022 Integrated Report,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Financial-Results/integrated-report-2022.pdf
Climate-related financial disclosures 2022,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Financial-Results/climate-related-financial-disclosures-2022.pdf
Absa Bank Kenya PLC 2021 Integrated Report,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2021.pdf
Absa Bank Kenya PLC Integrated Report 2020,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2020.pdf
Amended draft Memorandum and Articles of Association of the Company,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/draft-memorandum-and-articles.pdf
Matrix of changes to the Articles of Association of the Company,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/matrix-of-changes-in-articles-of-association.pdf
CMA - Letter of no objection,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/cma-no-objections-letter.pdf
Absa Bank Kenya PLC Integrated Report 2019,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/integrated-report-2019.pdf
Absa Africa Financial Markets Index 2019,https://www.absabank.co.ke/content/dam/kenya/absa/pdf/Investor-Relations/Annual-Reports/absa-africa-financial-markets-index-2019.PDF
