title,url,filename
IMPACT,https://bamburigroup.com/bamburi-cement-investor-relations/annual-reports/,
ANNUAL REPORT AND FINANCIAL STATEMENTS 2025,https://bamburigroup.com/annual-report-and-financial-statements-2025/,
Bamburi Cement Financial Statements 2025,https://bamburigroup.com/wp-content/uploads/2026/04/Bamburi-2026-FY-Results-17.04.2026.pdf,Bamburi-2026-FY-Results-17.04.2026.pdf
Bamburi Cement Financial Statements 2025,https://bamburigroup.com/bamburi-2025-financial-year-results/,
INTERGRATED ANNUAL REPORT 2024,https://bamburigroup.com/intergrated-annual-report-2024/,
Bamburi Cement Annual Report and Financial Statements 2023,https://bamburigroup.com/bamburi-2024-annual-report/,
Annual and Financial Report 2022,https://bamburigroup.com/annual-and-financial-report-2022/,
Bamburi Annual Report And Financial Statement 2021,https://bamburigroup.com/bamburi-2021-annual-report/,
Annual Report and Financial Statements 2020,https://bamburigroup.com/annual-report-and-financial-statements-2020/,
Annual Report and Financial Statements 2019,https://bamburigroup.com/annual-report-and-financial-statements-2019/,
Bamburi Annual Report and financial statement 2018,https://bamburigroup.com/bamburi-annual-report-and-financial-statement-2018/,
Annual Report and Financial Statements 2017,https://bamburigroup.com/annual-report-and-financial-statements-2017/,
Bamburi Cement Annual and Financial report 2014,https://bamburigroup.com/bamburi-cement-annual-and-financial-report-2014/,
Bamburi Cement Annual and Financial Report 2013,https://bamburigroup.com/bamburi-cement-annual-and-financial-report-2013/,
