title,url,kind,filename
Combined Annual and Sustainability Report 2025 (8.4 MB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2025.pdf,Annual report,BATK_Combined_Annual_and_Sustainability_Report_2025.pdf
Combined Annual and Sustainability Report 2024 (10 MB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2024.pdf,Annual report,BATK_Combined_Annual_and_Sustainability_Report_2024.pdf
Annual Report 2023 (6599 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2023.pdf,Annual report,Annual-Report-2023.pdf
Annual Report 2022 (20737 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2022.pdf,Annual report,Annual-Report-2022.pdf
Annual Report 2021 (17713 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2021.pdf,Annual report,Annual-Report-2021.pdf
Annual Report 2020 (18699 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2020.pdf,Annual report,Annual-Report-2020.pdf
Annual Report 2019 (19054 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2019.pdf,Annual report,Annual-Report-2019.pdf
Annual Report 2018 (7875 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2018.pdf,Annual report,Annual-Report-2018.pdf
Annual Report 2017 (10321 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2017.pdf,Annual report,Annual-Report-2017.pdf
Annual Report 2016 (5438 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2016.pdf,Annual report,Annual-Report-2016.pdf
Annual Report 2015 (5676 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2015.pdf,Annual report,Annual-Report-2015.pdf
Annual Report 2014 (6076 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2014.pdf,Annual report,Annual-Report-2014.pdf
Annual Report 2013 (5729 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2013.pdf,Annual report,Annual-Report-2013.pdf
Annual Report 2012 (2706 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2012.pdf,Annual report,Annual-Report-2012.pdf
Annual Report 2011 (8378 KB),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2011.pdf,Annual report,Annual-Report-2011.pdf
2025 Full Year Results (110 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/bat_kenya-2025_full_year_results.pdf,Financial results / statements,bat_kenya-2025_full_year_results.pdf
2025 Half Year Results (536 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2025-Half-Year-Results.pdf,Financial results / statements,2025-Half-Year-Results.pdf
2024 Full Year Results (99 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/bat_kenya-2024_full_year_results.pdf,Financial results / statements,bat_kenya-2024_full_year_results.pdf
2024 Half Year Results (837 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2024-Half-Year-Results.pdf,Financial results / statements,2024-Half-Year-Results.pdf
2023 Full Year Results (974 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2023-Full-Year-Results.pdf,Financial results / statements,2023-Full-Year-Results.pdf
2023 Half Year Results (1429 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2023-Half-Year-Results.pdf,Financial results / statements,2023-Half-Year-Results.pdf
2022 Full Year Results (1979 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2022-Full-Year-Results.pdf,Financial results / statements,2022-Full-Year-Results.pdf
2022 Half Year Results (217 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2022-Half-Year-Results.pdf,Financial results / statements,2022-Half-Year-Results.pdf
2021 Full Year Results (391 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2021-Full-Year-Results.pdf,Financial results / statements,2021-Full-Year-Results.pdf
2021 Half Year Results (101 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2021-Half-Year-Results.pdf,Financial results / statements,2021-Half-Year-Results.pdf
2020 Full Year Results (243 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2020-Full-Year-Results.pdf,Financial results / statements,2020-Full-Year-Results.pdf
2020 Half Year Results (73 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2020-Half-Year-Results.pdf,Financial results / statements,2020-Half-Year-Results.pdf
2019 Full Year Results (2994 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2019-Full-Year-Results.pdf,Financial results / statements,2019-Full-Year-Results.pdf
2019 Half Year Results (753 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2019-Half-Year-Results.pdf,Financial results / statements,2019-Half-Year-Results.pdf
2018 Full Year Results (2932 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2018-Full-Year-Results.pdf,Financial results / statements,2018-Full-Year-Results.pdf
2018 Half Year Results (8069 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2018-Half-Year-Results.pdf,Financial results / statements,2018-Half-Year-Results.pdf
2017 Full Year Results (2717 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2017-Full-Year-Results.pdf,Financial results / statements,2017-Full-Year-Results.pdf
2017 Half Year Results (1760 kb),https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/financial-statements/2017-Half-Year-Results.pdf,Financial results / statements,2017-Half-Year-Results.pdf
