title,year,report_type,url,filename,source_page
BK Group Plc Announces its Audited Q4 & FY Financial Results,2025,press-release,https://bk.rw/uploads/1_BK_Group_Plc_Announces_its_Audited_FY_2025_Financial_Results_final_d8835ee66c.pdf,1_BK_Group_Plc_Announces_its_Audited_FY_2025_Financial_Results_final_d8835ee66c.pdf,https://bk.rw/en/about/document-center
Bank of Kigali Announces Q3 2025 Results,2025,press-release,https://bk.rw/uploads/BK_Financials_Sept_2025_Newspaper_441ebac4b1.pdf,BK_Financials_Sept_2025_Newspaper_441ebac4b1.pdf,https://bk.rw/en/about/document-center
BK Group Announces Q3 2025 Results,2025,press-release,https://bk.rw/uploads/BK_Group_Financials_Sept_2025_1_signed_adfd8a229c.pdf,BK_Group_Financials_Sept_2025_1_signed_adfd8a229c.pdf,https://bk.rw/en/about/document-center
Bank of Kigali Announces 1H 2025 Results,2025,press-release,https://bk.rw/uploads/Bank_of_Kigali_Announce_H1_2025_results_2411ca25c1.pdf,Bank_of_Kigali_Announce_H1_2025_results_2411ca25c1.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces 1H 2025 Results,2025,press-release,https://bk.rw/uploads/BK_Gr_P_June_2025_Signed_1ec51b67d6.pdf,BK_Gr_P_June_2025_Signed_1ec51b67d6.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces Unaudited Q1 2025 Financial Results,2025,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Unaudited_Q1_2025_Financial_Results_1_bb11da9d07.pdf,BK_Group_Plc_Announces_Unaudited_Q1_2025_Financial_Results_1_bb11da9d07.pdf,https://bk.rw/en/about/document-center
BK Group Announces 2024 Q4&FY Results,2024,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Audited_Financial_Results_FY_2024_Final_f09b89ed87.pdf,BK_Group_Plc_Announces_Audited_Financial_Results_FY_2024_Final_f09b89ed87.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Announces Unaudited, IFRS-Based Q3 & 9M 2024 Results",2024,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Q3_and_9_M_2024_Unaudited_Financial_Results_3858d547c4.pdf,BK_Group_Plc_Announces_Q3_and_9_M_2024_Unaudited_Financial_Results_3858d547c4.pdf,https://bk.rw/en/about/document-center
BK Group Announces 1H 2024 Results,2024,press-release,https://bk.rw/uploads/BK_Group_Announces_1_H_2024_Results_Press_Release_7cc5ea1d6e.pdf,BK_Group_Announces_1_H_2024_Results_Press_Release_7cc5ea1d6e.pdf,https://bk.rw/en/about/document-center
BK Group Announces Unaudited Financial Results - Q1 2024,2024,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Unaudited_Financial_Results_Q1_2024_1_8f148801d2.pdf,BK_Group_Plc_Announces_Unaudited_Financial_Results_Q1_2024_1_8f148801d2.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Announces Unaudited, IFRS-Based Q3 & 9M 2023 Results",2023,press-release,https://bk.rw/uploads/Press_Release_Q3_9_M_2023_666c1224fb.pdf,Press_Release_Q3_9_M_2023_666c1224fb.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces Reviewed Results - Q2 and 1H 2023,2023,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Reviewed_Results_Q2_and_1_H_2023_2_35631db0b5.pdf,BK_Group_Plc_Announces_Reviewed_Results_Q2_and_1_H_2023_2_35631db0b5.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces Reviewed Financial Results - Q1 2023,2023,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Reviewed_Financial_Results_Q1_2023_e484a3747c.pdf,BK_Group_Plc_Announces_Reviewed_Financial_Results_Q1_2023_e484a3747c.pdf,https://bk.rw/en/about/document-center
