title,url,publication_date
HY2026 Unaudited Results Press Release,https://www.crownpaints.co.ke/storage/page-uploads/reports/hy2026-unaudited-results-press-release.pdf,15 Aug 2026
2025 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/2025-annual-report-and-financial-statements.pdf,01 Mar 2026
CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2024,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-audited-summary-consolidated-results-for-the-financial-year-2024.pdf,01 Mar 2025
2024 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/2024-annual-report-and-financial-statements-1-1.pdf,31 Jan 2025
2024 HALF YEAR REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-2024-half-year-results.pdf,01 Oct 2024
CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2023,https://www.crownpaints.co.ke/storage/page-uploads/reports/2023-summary-consolidated-results.pdf,01 Mar 2024
2023 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2023.pdf,31 Jan 2024
2022 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2022.pdf,31 Jan 2023
2021 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2021-new-for-web-6-1.pdf,31 Jan 2022
CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2020,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-audited-summary-consolidated-results-for-the-financial-year-2020.pdf,01 Mar 2021
2020 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-financial-statements-2020-1.pdf,30 Jan 2021
2019 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-amp-financial-statements-2019.pdf,31 Jan 2020
2018 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-financial-statements-2018.pdf,31 Jan 2019
2017 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-financial-statements-2017.pdf,31 Jan 2018
2016 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2016.pdf,31 Jan 2017
2015 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/annual-report-financial-statement-2015.pdf,30 Jan 2016
2014 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-2014.pdf,31 Jan 2015
2013 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-annual-report-and-financial-statements-2013.pdf,31 Jan 2014
2012 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-group-financial-statements-as-at-31-dec-2012.pdf,31 Jan 2013
