sector,issuer_name,ticker,isin,official_site_url,indexed_report_records,annual_records,semiannual_records,quarterly_records,coverage_status
AGRICULTURAL,Eaagads Ltd Ord 1.25 AIMS,EGAD,KE0000000208,https://www.eaagads.co.ke/,7,0,0,7,indexed first-party records
AGRICULTURAL,Kapchorua Tea Co. Ltd Ord Ord 5.00 AIMS,KAPC,KE4000001760,https://www.williamsontea.com/our-farms/kapchorua/,14,2,5,4,indexed first-party records
AGRICULTURAL,Kakuzi Ord.5.00,KUKZ,KE0000000281,,24,12,12,0,indexed first-party records
AGRICULTURAL,Limuru Tea Co. Ltd Ord 20.00,LIMT,KE0000000356,https://www.unilever-ewa.com/investor-relations/limuru-tea-financial-reports-and-accounts/,1,1,0,0,indexed first-party records
AGRICULTURAL,Sasini Ltd Ord 1.00,SASN,KE0000000430,https://sasini.co.ke/,12,6,5,1,indexed first-party records
AGRICULTURAL,Williamson Tea Kenya Ltd Ord 5.00,WTK,KE0000000505,https://www.williamsontea.com/,14,2,1,4,indexed first-party records
AUTOMOBILES AND ACCESSORIES,Car and General (K) Ltd Ord 5.00,CGEN,KE0000000109,https://www.cargen.com/,25,17,2,0,indexed first-party records
BANKING,Absa Bank Kenya PLC,ABSA,KE0000000067,https://www.absabank.co.ke/personal/,104,35,19,30,indexed first-party records
BANKING,Stanbic Holdings Plc. ord.5.00,SBIC,KE0000000091,https://www.stanbicbank.co.ke/,138,68,40,24,indexed first-party records
BANKING,I&M Holdings Ltd Ord 1.00,IMH,KE0000000125,https://www.imbankgroup.com/,90,25,20,30,indexed first-party records
BANKING,Diamond Trust Bank Kenya Ltd Ord 4.00,DTK,KE0000000158,https://dtbk.dtbafrica.com/,28,0,3,25,indexed first-party records
BANKING,Standard Chartered Bank Ltd Ord 5.00,SCBK,KE0000000448,https://www.sc.com/ke/,81,31,9,25,indexed first-party records
BANKING,Equity Group Holdings Ord 0.50,EQTY,KE0000000554,https://equitygroupholdings.com/,6,3,2,1,indexed first-party records
BANKING,The Co-operative Bank of Kenya Ltd Ord 1.00,COOP,KE1000001568,https://www.co-opbank.co.ke/,24,1,0,0,indexed first-party records
BANKING,BK Group PLC,BKG,KE5000008986,https://bk.rw/personal,56,24,0,29,indexed first-party records
BANKING,Family Bank Limited,FMLY,KE9930006987,https://familybank.co.ke/,66,20,10,21,indexed first-party records
BANKING,HF Group Ltd Ord 5.00,HFCK,KE0000000240,https://www.hfgroup.co.ke/,80,22,5,45,indexed first-party records
BANKING,HF Group Ltd Ord 5.00,KCB,KE0000000315,https://kcbgroup.com/,20,10,2,5,indexed first-party records
BANKING,NCBA Group PLC,NCBA,KE0000000406,https://ke.ncbagroup.com/,9,0,4,3,indexed first-party records
COMMERCIAL AND SERVICES,Express Ltd Ord 5.00,XPRS,KE0000000224,http://www.expresskenya.co.ke/express/,7,3,4,0,indexed first-party records
COMMERCIAL AND SERVICES,Sameer Africa PLC Ord 5.00,SMER,KE0000000232,https://sameerafrica.com/,40,28,8,0,indexed first-party records
COMMERCIAL AND SERVICES,Kenya Airways Ltd Ord 5.00,KQ,KE0000000307,https://www.kenya-airways.com/ke/,47,6,10,0,indexed first-party records
COMMERCIAL AND SERVICES,Nation Media Group Ord. 2.50,NMG,KE0000000380,https://www.nationmedia.com/,12,0,0,0,indexed first-party records
COMMERCIAL AND SERVICES,Standard Group Ltd Ord 5.00,SGL,KE0000000455,https://www.standardmedia.co.ke/corporate/,24,6,3,0,indexed first-party records
COMMERCIAL AND SERVICES,TPS Eastern Africa (Serena) Ltd Ord 1.00,TPSE,KE0000000539,https://africanfinancials.com/company/ke-tpse/,29,13,2,0,indexed first-party records
