sector,issuer_name,ticker,isin,status
AGRICULTURAL,Eaagads Ltd Ord 1.25 AIMS,EGAD,KE0000000208,current NSE page
AGRICULTURAL,Kapchorua Tea Co. Ltd Ord Ord 5.00 AIMS,KAPC,KE4000001760,current NSE page
AGRICULTURAL,Kakuzi Ord.5.00,KUKZ,KE0000000281,current NSE page
AGRICULTURAL,Limuru Tea Co. Ltd Ord 20.00,LIMT,KE0000000356,current NSE page
AGRICULTURAL,Sasini Ltd Ord 1.00,SASN,KE0000000430,current NSE page
AGRICULTURAL,Williamson Tea Kenya Ltd Ord 5.00,WTK,KE0000000505,current NSE page
AUTOMOBILES AND ACCESSORIES,Car and General (K) Ltd Ord 5.00,CGEN,KE0000000109,current NSE page
BANKING,Absa Bank Kenya PLC,ABSA,KE0000000067,current NSE page
BANKING,Stanbic Holdings Plc. ord.5.00,SBIC,KE0000000091,current NSE page
BANKING,I&M Holdings Ltd Ord 1.00,IMH,KE0000000125,current NSE page
BANKING,Diamond Trust Bank Kenya Ltd Ord 4.00,DTK,KE0000000158,current NSE page
BANKING,Standard Chartered Bank Ltd Ord 5.00,SCBK,KE0000000448,current NSE page
BANKING,Equity Group Holdings Ord 0.50,EQTY,KE0000000554,current NSE page
BANKING,The Co-operative Bank of Kenya Ltd Ord 1.00,COOP,KE1000001568,current NSE page
BANKING,BK Group PLC,BKG,KE5000008986,current NSE page
BANKING,Family Bank Limited,FMLY,KE9930006987,current NSE page
BANKING,HF Group Ltd Ord 5.00,HFCK,KE0000000240,current NSE page
BANKING,HF Group Ltd Ord 5.00,KCB,KE0000000315,current NSE page
BANKING,NCBA Group PLC,NCBA,KE0000000406,current NSE page
COMMERCIAL AND SERVICES,Express Ltd Ord 5.00,XPRS,KE0000000224,current NSE page
COMMERCIAL AND SERVICES,Sameer Africa PLC Ord 5.00,SMER,KE0000000232,current NSE page
COMMERCIAL AND SERVICES,Kenya Airways Ltd Ord 5.00,KQ,KE0000000307,current NSE page
COMMERCIAL AND SERVICES,Nation Media Group Ord. 2.50,NMG,KE0000000380,current NSE page
COMMERCIAL AND SERVICES,Standard Group Ltd Ord 5.00,SGL,KE0000000455,current NSE page
COMMERCIAL AND SERVICES,TPS Eastern Africa (Serena) Ltd Ord 1.00,TPSE,KE0000000539,current NSE page
COMMERCIAL AND SERVICES,Scangroup Ltd Ord 1.00,SCAN,KE0000000562,current NSE page
COMMERCIAL AND SERVICES,Uchumi Supermarket Ltd Ord 5.00,UCHM,KE0000000489,current NSE page
COMMERCIAL AND SERVICES,Longhorn Publishers Ltd,LKL,KE2000002275,current NSE page
COMMERCIAL AND SERVICES,Deacons (East Africa) Plc Ord 2.50,DCON,KE5000005438,current NSE page
COMMERCIAL AND SERVICES,Nairobi Business Ventures Ltd,NBV,KE5000000090,current NSE page
CONSTRUCTION AND ALLIED,Athi River Mining Ord 5.00,ARM,KE0000000034,current NSE page
CONSTRUCTION AND ALLIED,Bamburi Cement PLC Ord 5.00,BAMB,KE0000000059,current NSE page
CONSTRUCTION AND ALLIED,Crown Paints Kenya PLC. 0rd 5.00,CRWN,KE0000000141,current NSE page
CONSTRUCTION AND ALLIED,E.A.Cables PLC Ord 0.50,CABL,KE0000000174,current NSE page
CONSTRUCTION AND ALLIED,E.A.Portland Cement Ltd Ord 5.00,PORT,KE0000000190,current NSE page
ENERGY AND PETROLEUM,Total Kenya Ltd Ord 5.00,TOTL,KE0000000463,current NSE page
ENERGY AND PETROLEUM,KenGen Ltd Ord. 2.50,KEGN,KE0000000547,current NSE page
ENERGY AND PETROLEUM,Kenya Power & Lighting Co Ltd,KPLC,KE0000000349,current NSE page
ENERGY AND PETROLEUM,Umeme Ltd Ord 0.50,UMME,KE2000005815,current NSE page
INSURANCE,Jubilee Holdings Ltd Ord 5.00,JUB,KE0000000273,current NSE page
INSURANCE,Sanlam Allianz Holdings (Kenya) PLC 0rd 5.00,SLAM,KE0000000414,current NSE page
INSURANCE,Kenya Re-Insurance Corporation Ltd Ord 2.50,KNRE,KE0000000604,current NSE page
INSURANCE,Liberty Kenya Holdings Ltd,LBTY,,current NSE page
INSURANCE,Britam Holdings Ltd Ord 0.10,BRIT,KE2000002192,current NSE page
INSURANCE,CIC Insurance Group Ltd Ord 1.00,CIC,KE2000002317,current NSE page
INVESTMENT,Olympia Capital Holdings ltd Ord 5.00,OCH,KE0000000166,current NSE page
INVESTMENT,Centum Investment Co Ltd Ord 0.50,CTUM,KE0000000265,current NSE page
INVESTMENT,Trans-Century Ltd,TCL,KE2000002184,current NSE page
INVESTMENT,Home Afrika Ltd Ord 1.00,HAFR,KE2000007258,current NSE page
INVESTMENT,Kurwitu Ventures,KURV,KE4000001216,current NSE page
INVESTMENT SERVICES,Nairobi Securities Exchange Ltd Ord 4.00,NSE,KE3000009674,current NSE page
MANUFACTURING AND ALLIED,B.O.C Kenya Ltd Ord 5.00,BOC,KE0000000042,current NSE page
MANUFACTURING AND ALLIED,British American Tobacco Kenya Ltd Ord 10.00,BAT,KE0000000075,current NSE page
MANUFACTURING AND ALLIED,Carbacid Investments Ltd Ord 5.00,CARB,KE0000000117,current NSE page
MANUFACTURING AND ALLIED,East African Breweries Ltd Ord 2.00,EABL,KE0000000216,current NSE page
MANUFACTURING AND ALLIED,Mumias Sugar Co. Ltd Ord 2.00,MSC,KE0000000372,current NSE page
MANUFACTURING AND ALLIED,Unga Group Ltd Ord 5.00,UNGA,KE0000000497,current NSE page
MANUFACTURING AND ALLIED,Eveready East Africa Ltd Ord.1.00,EVRD,KE0000000588,current NSE page
MANUFACTURING AND ALLIED,AFRICA MEGA AGRICORP PLC 5.00,AMAC,KE0000000331,current NSE page
MANUFACTURING AND ALLIED,Flame Tree Group Holdings Ltd Ord 0.825,FTGH,KE4000001323,current NSE page
MANUFACTURING AND ALLIED,Shri Krishana Overseas (SKL),SKL.O0000,KE9900001216,current NSE page
TELECOMMUNICATION AND TECHNOLOGY,Safaricom PLC Ord 0.05,SCOM,KE1000001402,current NSE page
REAL ESTATE INVESTMENT TRUST,Laptrust Imara I-REIT,LAPR,KE9100008870,current NSE page
REAL ESTATE INVESTMENT TRUST,TRIFIC Green USD I-REIT,TRFC,KE9930007092,current NSE page
EXCHANGE TRADED FUND,New Gold Issuer (RP) Ltd,GLD,ZAE000060067,current NSE page
EXCHANGE TRADED FUND,Satrix MSCI World Feeder ETF,SMWF.E0000,ZAE000246104,current NSE page
