issuer_name,ticker,isin,official_site_url
Eaagads Ltd Ord 1.25 AIMS,EGAD,KE0000000208,https://www.eaagads.co.ke/
Kapchorua Tea Co. Ltd Ord Ord 5.00 AIMS,KAPC,KE4000001760,https://www.williamsontea.com/our-farms/kapchorua/
Limuru Tea Co. Ltd Ord 20.00,LIMT,KE0000000356,https://www.unilever-ewa.com/investor-relations/limuru-tea-financial-reports-and-accounts/
Sasini Ltd Ord 1.00,SASN,KE0000000430,https://sasini.co.ke/
Williamson Tea Kenya Ltd Ord 5.00,WTK,KE0000000505,https://www.williamsontea.com/
Car and General (K) Ltd Ord 5.00,CGEN,KE0000000109,https://www.cargen.com/
Absa Bank Kenya PLC,ABSA,KE0000000067,https://www.absabank.co.ke/personal/
Stanbic Holdings Plc. ord.5.00,SBIC,KE0000000091,https://www.stanbicbank.co.ke/
I&M Holdings Ltd Ord 1.00,IMH,KE0000000125,https://www.imbankgroup.com/
Diamond Trust Bank Kenya Ltd Ord 4.00,DTK,KE0000000158,https://dtbk.dtbafrica.com/
Standard Chartered Bank Ltd Ord 5.00,SCBK,KE0000000448,https://www.sc.com/ke/
Equity Group Holdings Ord 0.50,EQTY,KE0000000554,https://equitygroupholdings.com/
The Co-operative Bank of Kenya Ltd Ord 1.00,COOP,KE1000001568,https://www.co-opbank.co.ke/
BK Group PLC,BKG,KE5000008986,https://bk.rw/personal
Family Bank Limited,FMLY,KE9930006987,https://familybank.co.ke/
HF Group Ltd Ord 5.00,HFCK,KE0000000240,https://www.hfgroup.co.ke/
KCB Group Ltd Ord 1.00,KCB,KE0000000315,https://kcbgroup.com/
NCBA Group PLC,NCBA,KE0000000406,https://ke.ncbagroup.com/
Express Ltd Ord 5.00,XPRS,KE0000000224,http://www.expresskenya.co.ke/express/
Sameer Africa PLC Ord 5.00,SMER,KE0000000232,https://sameerafrica.com/
Kenya Airways Ltd Ord 5.00,KQ,KE0000000307,https://www.kenya-airways.com/ke/
Nation Media Group Ord. 2.50,NMG,KE0000000380,https://www.nationmedia.com/
Standard Group Ltd Ord 5.00,SGL,KE0000000455,https://www.standardmedia.co.ke/corporate/
TPS Eastern Africa (Serena) Ltd Ord 1.00,TPSE,KE0000000539,https://africanfinancials.com/company/ke-tpse/
Scangroup Ltd Ord 1.00,SCAN,KE0000000562,https://www.wpp-scangroup.com/
Uchumi Supermarket Ltd Ord 5.00,UCHM,KE0000000489,https://www.uchumisupermarkets.co.ke/
Longhorn Publishers Ltd,LKL,KE2000002275,https://longhornpublishers.com/
Deacons (East Africa) Plc Ord 2.50,DCON,KE5000005438,
Nairobi Business Ventures Ltd,NBV,KE5000000090,http://www.nbvplc.com/
Bamburi Cement PLC Ord 5.00,BAMB,KE0000000059,https://www.lafarge.co.ke/
Crown Paints Kenya PLC. 0rd 5.00,CRWN,KE0000000141,https://www.crownpaints.co.ke/
E.A.Cables PLC Ord 0.50,CABL,KE0000000174,https://www.eacables.com/index.php
E.A.Portland Cement Ltd Ord 5.00,PORT,KE0000000190,https://www.eacables.com/index.php
Total Kenya Ltd Ord 5.00,TOTL,KE0000000463,https://totalenergies.ke/
KenGen Ltd Ord. 2.50,KEGN,KE0000000547,https://www.kengen.co.ke/
Kenya Power & Lighting Co Ltd,KPLC,KE0000000349,
Umeme Ltd Ord 0.50,UMME,KE2000005815,http://umeme.co.ug/
Kenya Pipeline Company,KPC,KE9900006215,https://www.kpc.co.ke/
Jubilee Holdings Ltd Ord 5.00,JUB,KE0000000273,https://jubileeinsurance.com/ke/
Sanlam Allianz Holdings (Kenya) PLC 0rd 5.00,SLAM,KE0000000414,https://www.sanlam.com/kenya
Kenya Re-Insurance Corporation Ltd Ord 2.50,KNRE,KE0000000604,https://kenyare.co.ke/
Liberty Kenya Holdings Ltd,LBTY,KE2000002168,https://www.libertykenya.co.ke/
Britam Holdings Ltd Ord 0.10,BRIT,KE2000002192,https://ke.britam.com/
CIC Insurance Group Ltd Ord 1.00,CIC,KE2000002317,https://cic.co.ke/
Olympia Capital Holdings ltd Ord 5.00,OCH,KE0000000166,https://ochl.co.ke/
Centum Investment Co Ltd Ord 0.50,CTUM,KE0000000265,https://centum.co.ke/
Trans-Century Ltd,TCL,KE2000002184,http://transcentury.co.ke/
Home Afrika Ltd Ord 1.00,HAFR,KE2000007258,https://www.homeafrika.com/
Nairobi Securities Exchange Ltd Ord 4.00,NSE,KE3000009674,
B.O.C Kenya Ltd Ord 5.00,BOC,KE0000000042,
British American Tobacco Kenya Ltd Ord 10.00,BAT,KE0000000075,https://www.batkenya.com/
Carbacid Investments Ltd Ord 5.00,CARB,KE0000000117,https://carbacid.com/
East African Breweries Ltd Ord 2.00,EABL,KE0000000216,https://www.eabl.com/
Mumias Sugar Co. Ltd Ord 2.00,MSC,KE0000000372,
Unga Group Ltd Ord 5.00,UNGA,KE0000000497,https://unga-group.com/
Eveready East Africa Ltd Ord.1.00,EVRD,KE0000000588,https://eveready.co.ke/
AFRICA MEGA AGRICORP PLC 5.00,AMAC,KE0000000331,
Flame Tree Group Holdings Ltd Ord 0.825,FTGH,KE4000001323,https://flametreebrands.com/
Safaricom PLC Ord 0.05,SCOM,KE1000001402,https://www.safaricom.co.ke/business
Laptrust Imara I-REIT,LAPR,KE9100008870,https://laptrustimaraireit.co.ke/
ALP Industrial Real Estate Investment Trust,ALP,KE9900006322,https://www.alp.africa/
TRIFIC Green USD I-REIT,TRFC,KE9930007092,https://trific.co.ke/i-reit/
New Gold Issuer (RP) Ltd,GLD,ZAE000060067,
