title,url
2026 – Second Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/e0a928bd-1b84-4e66-899f-cbac2c2d2cff/DTB-H1-Financial-Results.pdf
2026 – First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/2ee883f6-b7ff-474a-b09c-156fe21935ce/Final-outlined-DTB-Unaudited-Group-and-Bank-Q1-2026-Results.pdf
2025 – Fourth Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/59d7f3c0-8899-4f9d-955d-158ccb6cb9d0/2025-FINANCIAL-STATEMENTS_OUTLINED.pdf
2025 – Third Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/2c196f5f-e217-4e72-a29d-245f6362927c/Q3-financials-Outlined-final.pdf
2025 – Second Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/9ee2f315-4fc0-495b-8b36-6a0214c62401/Q2-financials-2025_final.pdf
2025 – First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/f8b37615-0811-462c-91e1-130b85314fd6/DTB-Kenya-Limited-Unaudited-Group-And-Bank-Results-March-2025.pdf
2024 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/8b5eada2-4199-462c-804a-b60a57d8afc3/Q4-financials-Outlined.pdf
2024 – Third Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/b3c4ad84-82bd-4849-9a45-86454d178063/Q3-financials-final-(1).pdf
2024 – Second Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/8ad499a7-01f8-448c-be9c-8814625306fa/Q2-financials-final.pdf
2024 - First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/cacb0055-77a0-4806-8a95-d8233e597746/Q1-financials-DTB-270524_0.pdf
2023 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/a520e413-fb23-4bb0-b7ac-bf3b9e61de41/Q4-Finanicals-2-222103.pdf
2023 - Third Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/c4dac9a4-83c3-4c37-9131-e82f8a4ddba5/DTB-Q3-Financials-DN-Final.pdf
2023 - Second Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/5b35ac92-8751-4aad-bedd-97fc16cb3fcd/Financials---Q2-2023---Web.pdf
2023 - First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/8a0faf33-7911-461b-8aaf-8986bc752564/Q1-PRINT-NATION-Financials_-(1).pdf
2022 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/e9edd36a-5ccf-44d9-9190-3066be416541/DTB-Financials_PRINT.pdf
2022 - Third Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/af6280f4-4af3-42ec-9c97-186a31599099/Q3-2022-print.pdf
2022 - Second Quarter and Half Year Download,https://dtbk.dtbafrica.com/storage/uploads/0fc00a2d-bb7a-4473-a63b-7495859bb741/Financials-June-2022.pdf
2022 - First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/39c1e97d-0a15-4d0c-b70b-aff08754a3c8/Q1-Financials-2022-V2---For-print.pdf
2021 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/5935a36f-2a82-4e3d-ad36-925c327f4ab2/DTB---FY-Dec-2021-Financials.pdf
2021 - Second Quarter and Half Year Download,https://dtbk.dtbafrica.com/storage/uploads/c597f2fa-1f70-4269-a451-b8f5282dae41/Financials-June-2021-Outlined.pdf
2021 - First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/56e05eb8-8a51-43d3-9f5f-4a4a64f67317/Q1-Financials-Outlined.pdf
2020 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/77d0a1bf-dd11-444a-9796-eeb0f4defb5e/DTB-Full-Year-Financials---FINAL.pdf
2020 - Third Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/28540a3d-ab41-4ebf-8d19-d352f4236c07/DTB-Kenya-Financials---Q3-2020.pdf
2020- Second Quarter and Half Year Download,https://dtbk.dtbafrica.com/storage/uploads/1b866579-5221-4aed-ae21-ffd9b1bd48c8/Diamond-Trust-Bank-Ltd---Unaudited-Group-and-Bank-Results-for-the-period-ended-30th-June--2020.pdf
2020- First Quarter Download,https://dtbk.dtbafrica.com/storage/uploads/ef583c38-1ed4-46b6-8797-ea8ebdeb093e/Diamond-Trust-Bank-Kenya-Ltd---Unaudited-Group-and-Bank-Results-for-the-Period-Ended-31-Mar-2020.pdf
2019 - Fourth Quarter and Full Year Download,https://dtbk.dtbafrica.com/storage/uploads/bb91e494-d6cc-41c4-9c73-3b1c3839335e/DTB-Group-and-Bank-Results-for-the-period-ended-31st-December-2019.pdf
2019 - Third Quarter and Nine Months Download,https://dtbk.dtbafrica.com/storage/uploads/ccfa86d2-64fc-4b78-b9f4-2a202182ee3b/Q3-2019-DTB-Group-and-Bank-Financial-Report.pdf
2019 - Second Quarter and Half Download,https://dtbk.dtbafrica.com/storage/uploads/0949c655-b0d6-41c9-80a1-98d784b513b2/DTBK-2019-Half-year-results.pdf
