title,publication_date,url
Un-Audited Financial Statement and Other Disclosures for the period ended 30th June 2026,"June 29, 2026",https://familybank.co.ke/family-bank/wp-content/uploads/2026/08/Unaudited_Financial_Results_for_the_period_ended_30_June_2026.pdf
Integrated Report and Financial Statement for the year ended 2025,"April 30, 2026",https://familybank.co.ke/family-bank/wp-content/uploads/2026/05/Family_Bank_AR_2026.pdf
Un-audited Financial Statements and other disclosures for the period ended 31st March 2026,"March 30, 2026",https://familybank.co.ke/family-bank/wp-content/uploads/2026/05/Unaudited_Financial_Results_for_the_period_31_March_2026.pdf
Audited Financial Statement and Other Disclosures for the Period Ended 31st December 2025,"December 30, 2025",https://familybank.co.ke/family-bank/wp-content/uploads/2026/03/FAMILY_BANK_LIMITED_Audited_Financial_Statement_and_Other_Disclosures_the_Period_31st_December_2025.pdf
Un-audited Financial Statements and other disclosures for the period ended 30th September 2025,"September 29, 2025",https://familybank.co.ke/family-bank/wp-content/uploads/2025/11/UN-AUDITED-_FINANCIAL_STATEMENTS_AND_OTHER_DISCLOSURES_FOR_THE_PERIOD_ENDED_30_SEPTEMBER_2025.pdf
Un-audited Financial Statements and other disclosures for the period ended 30th June 2025,"August 18, 2025",https://familybank.co.ke/family-bank/wp-content/uploads/2025/08/UN-AUDITED-FINANCIAL-STATEMENTS-AND-OTHER-DISCLOSURES-FOR-THE-PERIOD-ENDED-30-JUNE-2025.pdf
Un-audited Financial Statements and other disclosures for the period ended 31st March 2025,"May 30, 2025",https://familybank.co.ke/family-bank/wp-content/uploads/2025/05/FAMILY-BANK-LIMITED-Q1-FINANCIALS-FINAL.pdf
Financial Statements for the Period Ended 31st December 2024,"December 30, 2024",https://familybank.co.ke/family-bank/wp-content/uploads/2025/03/audited_financial_results_31_december_2024.pdf
Financial Statements for the Period Ended 30th September 2024,"September 30, 2024",https://familybank.co.ke/family-bank/wp-content/uploads/2025/02/UN-AUDITED-FINANCIAL-STATEMENTS-AND-OTHER-DISCLOSURES-FOR-THE-PERIOD-ENDED-30TH-SEPTEMBER-2024.pdf
Financial Statements for the Period Ended 30th June 2024,"June 29, 2024",https://familybank.co.ke/family-bank/wp-content/uploads/2024/08/Financial-Statements-for-the-Period-Ended-30th-June-2024.pdf
Financial Statements for The Period Ended 31st March 2024,"March 30, 2024",https://familybank.co.ke/family-bank/wp-content/uploads/2024/05/UN-AUDITED-FINANCIAL-STATEMENTS-FOR-THE-PERIOD-ENDED-31ST-MARCH-2024.pdf
