title,year,category,url,filename
HFCB Group 2026 Q1 Results,2026,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2026/HFCB%20Group%202026%20Q1%20Results.pdf,HFCB Group 2026 Q1 Results.pdf
HF Group FY2025 Audited Financial Results,2025,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20FY2025%20Audited%20Financial%20Results.pdf,HF Group FY2025 Audited Financial Results.pdf
HF GROUP Q3 2025 FINANCIALS,2025,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20GROUP%20Q3%202025%20FINANCIALS.pdf,HF GROUP Q3 2025 FINANCIALS.pdf
HF Group HY 2025 Financial Results,2025,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20HY%202025%20Financial%20Results.pdf,HF Group HY 2025 Financial Results.pdf
HF Group Q1 2025 Financial Results,2025,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20Q1%202025%20Financial%20Results.pdf,HF Group Q1 2025 Financial Results.pdf
HF Group Plc 2024 Financials,2024,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20Plc%202024%20Financials.pdf,HF Group Plc 2024 Financials.pdf
HF GROUP FY 2024 Audited Financial Statements,2024,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20GROUP%20FY%202024%20AUDITED%20FINANCIAL%20STATEMENTS.pdf,HF GROUP FY 2024 AUDITED FINANCIAL STATEMENTS.pdf
HF Group Q3 2024 Performance,2024,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF-Group-Q3-2024-Performance.pdf,HF-Group-Q3-2024-Performance.pdf
HF Group H1 2024 Financial Results,2024,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20H1%202024%20Financial%20Results.pdf,HF Group H1 2024 Financial Results.pdf
HF Group Q1 2024 Financials,2024,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20Q1%202024%20Financials.pdf,HF Group Q1 2024 Financials.pdf
HF Group FY 2023 Financials,2023,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20Group%20FY%202023%20Financials.pdf,HF Group FY 2023 Financials.pdf
HF Group Q3 2023 Financial Results,2023,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20Group%20Q3%20Financial%20Results.pdf,HF Group Q3 Financial Results.pdf
HF Group H1 2023 Financials,2023,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF-Group-H1-Financials%20Q1.pdf,HF-Group-H1-Financials Q1.pdf
HF GROUP Q1 2023 Publication Financials,2023,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20GROUP%20Q1%20PUBLICATION%20FINANCIALS.pdf,HF GROUP Q1 PUBLICATION FINANCIALS.pdf
