legal_or_display_name,ticker,sector,isin,status_as_of_2026-08-27,status_source_url,former_official_site,last_known_listing_or_disclosure_period,archive_coverage_status,notes
Eaagads Ltd.,EGAD,AGRICULTURAL,KE0000000208,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kapchorua Tea Kenya Plc.,KAPC,AGRICULTURAL,KE4000001760,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kakuzi Plc,KUKZ,AGRICULTURAL,KE0000000281,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Limuru Tea Co. Ltd.,LIMT,AGRICULTURAL,KE0000000356,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Sasini Plc.,SASN,AGRICULTURAL,KE0000000430,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Williamson Tea Kenya Plc.,WTK,AGRICULTURAL,KE0000000505,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Car & General (K) Ltd.,CGEN,AUTOMOBILES & ACCESSORIES,KE0000000109,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
ABSA Bank Kenya Plc.,ABSA,BANKING,KE0000000067,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Stanbic Holdings Ltd.,SBIC,BANKING,KE0000000091,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
I & M Holdings Plc.,IMH,BANKING,KE0000000125,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Diamond Trust Bank Kenya Ltd,DTK,BANKING,KE0000000158,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
HF Group Plc.,HFCK,BANKING,KE0000000240,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
KCB Group Plc.,KCB,BANKING,KE0000000315,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
NCBA Group Plc.,NCBA,BANKING,KE0000000406,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Standard Chartered Bank Kenya Ltd.,SCBK,BANKING,KE0000000448,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Equity Group Holdings Plc.,EQTY,BANKING,KE0000000554,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
The Co-operative Bank of Kenya Ltd,COOP,BANKING,KE1000001568,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Express Kenya Plc.,XPRS,COMMERCIAL & SERVICES,KE0000000224,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kenya Airways Ltd.,KQ,COMMERCIAL & SERVICES,KE0000000307,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Nation Media Group Plc.,NMG,COMMERCIAL & SERVICES,KE0000000380,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Standard Group Plc.,SGL,COMMERCIAL & SERVICES,KE0000000455,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
TPS Eastern Africa (Serena) Ltd.,TPSE,COMMERCIAL & SERVICES,KE0000000539,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
WPP Scangroup Plc.,SCAN,COMMERCIAL & SERVICES,KE0000000562,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Uchumi Supermarket Plc.,UCHM,COMMERCIAL & SERVICES,KE0000000489,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Eveready East Africa Ltd..,EVRD,COMMERCIAL & SERVICES,KE0000000588,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Longhorn Publishers Plc.,LKL,COMMERCIAL & SERVICES,KE2000002275,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Deacons (East Africa) Plc.,DCON,COMMERCIAL & SERVICES,KE5000005438,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Sameer Africa Plc.,SMER,COMMERCIAL & SERVICES,KE0000000232,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Nairobi Business Ventures Ltd,NBV,COMMERCIAL & SERVICES,KE5000000090,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Homeboyz Entertainment Plc,HBE,COMMERCIAL & SERVICES,,Absent from current 66-row NSE page; historical candidate,https://cdsckenya.com/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
ARM Cement Plc,ARM,CONSTRUCTION & ALLIED,KE0000000034,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Bamburi Cement Ltd,BAMB,CONSTRUCTION & ALLIED,KE0000000059,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Crown Paints Kenya Plc,CRWN,CONSTRUCTION & ALLIED,KE0000000141,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
E.A Cables Ltd,CABL,CONSTRUCTION & ALLIED,KE0000000174,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
E.A Portland Cement Ltd,PORT,CONSTRUCTION & ALLIED,KE0000000190,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Total Kenya Ltd.,TOTL,ENERGY & PETROLEUM,KE0000000463,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
KenGen Plc,KEGN,ENERGY & PETROLEUM,KE0000000547,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kenya Power & Lighting Plc,KPLC,ENERGY & PETROLEUM,KE0000000349,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Umeme Ltd,UMME,ENERGY & PETROLEUM,KE2000005815,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Olympia Capital Holdings Ltd,OCH,INVESTMENT,KE0000000166,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Centum Investment Plc,CTUM,INVESTMENT,KE0000000265,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Trans - Century Plc.,TCL,INVESTMENT,KE2000002184,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Home Afrika Ltd.,HAFR,INVESTMENT,KE2000007258,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kurwitu Ventures Ltd,KURV,INVESTMENT,KE4000001216,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Jubilee Holdings Ltd,JUB,INSURANCE,KE0000000273,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Sanlam Kenya Plc,SLAM,INSURANCE,KE0000000414,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
