title,description,report_date,url,filename
Integrated Annual Report & Financial Statements 2025,Integrated Annual Report & Financial Statements 2025,31 Dec 2025,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2025-1782322991.pdf,integrated-annual-report-financial-statements-2025-1782322991.pdf
Home Afrika Financial Publication 2025,Home Afrika Financial Publication 2025,31 Dec 2025,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2025-1777529037.pdf,home-afrika-financial-publication-2025-1777529037.pdf
Home Afrika Half The Financial Publication 2025,Home Afrika Half The Financial Publication,31 Dec 2025,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-financial-publication-2025-1765265920.pdf,home-afrika-half-the-financial-publication-2025-1765265920.pdf
Integrated Annual Report & Financial Statements 2024,Integrated Annual Report & Financial Statements 2024,31 Dec 2024,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2024-1769771236.pdf,integrated-annual-report-financial-statements-2024-1769771236.pdf
Home Afrika Half The Financial Publication 2024,Home Afrika Half The Financial Publication,31 Dec 2024,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-financial-publication-2024-1765263538.pdf,home-afrika-half-the-financial-publication-2024-1765263538.pdf
Home Afrika Financial Publication 2024,Home Afrika Financial Publication,31 Dec 2024,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2024-1765263484.pdf,home-afrika-financial-publication-2024-1765263484.pdf
Integrated Annual Report & Financial Statements 2023,Integrated Annual Report & Financial Statements,31 Dec 2023,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2023-1765262850.pdf,integrated-annual-report-financial-statements-2023-1765262850.pdf
Home Afrika Half The Year Financial Publication 2023,Home Afrika Half The Year Financial Publication,31 Dec 2023,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-year-financial-publication-2023-1765262626.pdf,home-afrika-half-the-year-financial-publication-2023-1765262626.pdf
Home Afrika Financial Publication 2023,Home Afrika Financial Publication 2023,31 Dec 2023,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2023-1765262542.pdf,home-afrika-financial-publication-2023-1765262542.pdf
Home Afrika Financial Publication 2022,Home Afrika Financial Publication,31 Dec 2022,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2022-1765262322.pdf,home-afrika-financial-publication-2022-1765262322.pdf
Integrated Annual Report & Financial Statements 2022,Integrated Annual Report & Financial Statements,31 Dec 2022,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2022-1765262225.pdf,integrated-annual-report-financial-statements-2022-1765262225.pdf
Integrated Annual Report & Financial Statements 2021,Integrated Annual Report & Financial Statements,31 Dec 2021,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2021-1765261571.pdf,integrated-annual-report-financial-statements-2021-1765261571.pdf
Press Release-Delay in Publication,DELAY IN THE PUBLICATION OF 2020 FINANCIAL STATEMENTS,31 Dec 2020,https://www.homeafrika.com/static/uploads/media/press-release-delay-in-publication-1765261395.pdf,press-release-delay-in-publication-1765261395.pdf
Integrated Annual Report & Financial Statements 2020,Integrated Annual Report & Financial Statements,31 Dec 2020,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2020-1765261282.pdf,integrated-annual-report-financial-statements-2020-1765261282.pdf
Notification-Extension for Publication,Extension of the publication of audited financial statements…,31 Dec 2020,https://www.homeafrika.com/static/uploads/media/notification-extension-for-publication-1765261082.pdf,notification-extension-for-publication-1765261082.pdf
Integrated Annual Report & Financial Statements 2019,integrated annual report & financial statements,31 Dec 2019,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2019-1765260508.pdf,integrated-annual-report-financial-statements-2019-1765260508.pdf
Integrated Annual Report & Financial Statements 2018,integrated annual report & financial statements,31 Dec 2018,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2018-1765260154.pdf,integrated-annual-report-financial-statements-2018-1765260154.pdf
Integrated Annual Report & Financial Statements 2017,Integrated Annual Report & Financial Statements,31 Dec 2017,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2017-1765259506.pdf,integrated-annual-report-financial-statements-2017-1765259506.pdf
Integrated Annual Report & Financial Statements 2016,integrated annual report & financial statements,31 Dec 2016,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2016-1765259032.pdf,integrated-annual-report-financial-statements-2016-1765259032.pdf
