issuer_context,archive_page_url,link_text,direct_url
KCB Group,https://kcbgroup.com/integrated-reports,KCB Board Charter of Commitment,https://kcbgroup.com/download/eyJpdiI6IkpjL2tjV2dkUHBtNjZYazlXYWVoaFE9PSIsInZhbHVlIjoibmppbWVEeUdXQjhzTzZ3c0NhQ244UmF2V0E1QlJadDFYZmRyWHUrdkVmOUREaURHKzE5ekJYN3JUbU95dWxBTyIsIm1hYyI6IjEyOGRhMGEyYTQwOWNlMjlkNjYxMDI4NTk0ZTU5YTM4YzgxNDgyY2RjYzFjMjQwY2QzMzAzMWRlYWVlNzY2ZDkiLCJ0YWciOiIifQ==?signature=b537f8527935e7c0ddd7fcfe3b12a7ff18ade84f357124b1fbfa679645341931
KCB Group,https://kcbgroup.com/integrated-reports,Board Directors Attraction and Retention,https://kcbgroup.com/download/eyJpdiI6Ijc0L3hESzB5SVk2dklVTE04RGd6Z1E9PSIsInZhbHVlIjoiZUZmM1REb0dub3IwOVVWTm5BVVZOR1h1YnRKakNUUWtIK1B0RzNjZ0FKMm9ENWVnSVlvOTgveDBobHR5VjI5OTRtSm1GakJPVjFIVnJHaFBHRHppNk5VVDhENWF4cXJZa2RHamd0dVQ2WGs9IiwibWFjIjoiY2ZlNjI1N2M1ZWY2ZjEwNWVhYmJlNjg0OTU3MjFmOGRmYzhmNDE0MjIwNmFiZjZiOWU1ZTBhOWJiZGI1MGRkMyIsInRhZyI6IiJ9?signature=9b870b81c9c1df26d5d61d8387ebd9d4d2a5deb780b1f6e07c6b40c2ff81c1fa
KCB Group,https://kcbgroup.com/integrated-reports,Corporate Disclosure Policy,https://kcbgroup.com/download/eyJpdiI6Iis4ZzNxWjhFM2M3SHUyeTBvWDc4c3c9PSIsInZhbHVlIjoiME0xUkF5NnZ1azh3aGV0cVJQRVhQUWZoU2p3a05Vc0ZoOUVONm1pcXhYcFJobmluZllJVlFpYnAvUk0vOWhxUEQvVkVpOFdpZFpUY08yRE5YQzVGOUE9PSIsIm1hYyI6IjA3ZDFjNzY3YTMxYTEwOGMzYTcyZTI3NTljMDVjMjI5MjkxZWUyY2I2OTgxMjljMWRiY2U4NmJlMGUyNDFiYTIiLCJ0YWciOiIifQ==?signature=19ee7df5f30b51ff33e3420222f0dc473a6db707b9157e0f507bc2f9b09312dd
KCB Group,https://kcbgroup.com/integrated-reports,Dispute Resolution Policy,https://kcbgroup.com/download/eyJpdiI6Imk1ZVZNWVRWaTlHM2xyNUNvS1M2RXc9PSIsInZhbHVlIjoiR3NJaFpSNTVkcVJPOERSVHhieVVqaXY4ZFZjUk01K1lwaktVamRNaTlSUkpBbzU1TEZHUytsZEVXN3NtaWREcm1Yd1dtVHoxYWxVdlVzVWd5UEl4Snc9PSIsIm1hYyI6IjQ0ZTlmYmFkYmVmNzM4ZDRlNTI2YWNkN2NjM2ZlM2FkMjU0Njg3Yjg0MmFhOGRjYTljNmZhYzZiYzFlZjFmYTQiLCJ0YWciOiIifQ==?signature=a8cdc3f7348389dc97311d4ac93f28d9342552cd980596cb6dfd68c9ca89ceb4
KCB Group,https://kcbgroup.com/integrated-reports,NED Remuneration Policy,https://kcbgroup.com/download/eyJpdiI6IkptaG5wWEV3Q2VvNmgrV1ZzWndHRGc9PSIsInZhbHVlIjoiWlBLWUtTS3EvRGRkbmRmZWJSOFJQM2UwRkp3Ry9XMFlpa2c3RmQ1TGxFQWg1Qmg2ZzBmRzhucStxRHlMUXlueUhNVEh2Nkt5U0RwdVpidFh3d3VxWEE9PSIsIm1hYyI6IjhhMTQwNjkxYzAzMGMxNzEyNTdjMzJiOTUwNDVjZWFhOWY4MWM5YzYxNmQzZTIzY2VjODI1YTc1MzhlZmU3OWQiLCJ0YWciOiIifQ==?signature=0c451abb2e4353ce227b9bb450ec578a3c0665c739c2c3ebb3a6be5e8e674aa5
KCB Group,https://kcbgroup.com/integrated-reports,Stakeholder Communication Policy,https://kcbgroup.com/download/eyJpdiI6IjJOZFF2NVE3YUIvMWN4REdVRlc5UXc9PSIsInZhbHVlIjoiU1NRejR6eW1Rb0tHaVhrZm83akFIb0FUQUpMYk8xWU5VVVFSYTVIdHU5Mkc3WU5FcTR3UWg0M3VRNkd4MlZPeUhNSXplcnFOMnZNWVBZVndJYzBJYkE9PSIsIm1hYyI6ImM2MzNkMzFjNDVhNmVjMjYwODZjZDc0ZGJhODRmN2Q2YTUzNDgzMTAyNTQ3YzBhYTZmNjYyZmUwZWZkYWRkMjEiLCJ0YWciOiIifQ==?signature=ce91a1afacb7bb62763c138bff460ea1a7f8a2501149a94b1e73890377fe7dd8
KCB Group,https://kcbgroup.com/integrated-reports,Financials,javascript:void(0);
KCB Group,https://kcbgroup.com/integrated-reports,Financial Statements,https://kcbgroup.com/financial-statements
KCB Group,https://kcbgroup.com/integrated-reports,Subsidiary Financial Statements,https://kcbgroup.com/subsidiary-financial-statements
KCB Group,https://kcbgroup.com/integrated-reports,Integrated Reports,https://kcbgroup.com/integrated-reports
