title,url,filename
Signed KAP Annual Report Finacial Statements 2026,https://www.williamsontea.com/wp-content/uploads/2026/06/Signed-KAP-Annual-Report-Finacial-Statements-2026.pdf,Signed-KAP-Annual-Report-Finacial-Statements-2026.pdf
Kap Half Year Press September 2025,https://www.williamsontea.com/wp-content/uploads/2025/11/Kap-Half-Year-Press-September-2025.pdf,Kap-Half-Year-Press-September-2025.pdf
Kap Half Year Press September 2024,https://www.williamsontea.com/wp-content/uploads/2024/11/Kap-Half-Year-Press-September-2024.pdf,Kap-Half-Year-Press-September-2024.pdf
Kapchorua 2024 Signed FS,https://www.williamsontea.com/wp-content/uploads/2024/07/Kapchorua-2024-Signed-FS.pdf,Kapchorua-2024-Signed-FS.pdf
Kapchorua Half Year Press September 2023 16.11.2398,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Half-Year-Press-September-2023-16.11.2398.pdf,Kapchorua-Half-Year-Press-September-2023-16.11.2398.pdf
KAPCHORUA TEA KENYA PLC VOTING RESULTS 2023 1,https://www.williamsontea.com/wp-content/uploads/2024/01/KAPCHORUA-TEA-KENYA-PLC-VOTING-RESULTS-2023-1.pdf,KAPCHORUA-TEA-KENYA-PLC-VOTING-RESULTS-2023-1.pdf
Kapchorua signed Financial Statement 2023,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-signed-Financial-Statement-2023.pdf,Kapchorua-signed-Financial-Statement-2023.pdf
Kap Half Year Press September 2022,https://www.williamsontea.com/wp-content/uploads/2024/01/Kap-Half-Year-Press-September-2022.pdf,Kap-Half-Year-Press-September-2022.pdf
Kapchorua Annual Report 2022,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Annual-Report-2022.pdf,Kapchorua-Annual-Report-2022.pdf
Kap Half Year Results September 202124,https://www.williamsontea.com/wp-content/uploads/2024/01/Kap-Half-Year-Results-September-202124.pdf,Kap-Half-Year-Results-September-202124.pdf
Kapchorua Audited Accounts for year ended 31st March 2021,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Audited-Accounts-for-year-ended-31st-March-2021.pdf,Kapchorua-Audited-Accounts-for-year-ended-31st-March-2021.pdf
KAPCHORUA TEA KENYA PLC UNAUDITED RESULTS FOR 6 MONTHS ENDING 30TH SEPTEMBER 2020,https://www.williamsontea.com/wp-content/uploads/2024/01/KAPCHORUA-TEA-KENYA-PLC-UNAUDITED-RESULTS-FOR-6-MONTHS-ENDING-30TH-SEPTEMBER-2020-.pdf,KAPCHORUA-TEA-KENYA-PLC-UNAUDITED-RESULTS-FOR-6-MONTHS-ENDING-30TH-SEPTEMBER-2020-.pdf
Kapchorua Financial Statements for the year ended 31st March 2020,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Financial-Statements-for-the-year-ended-31st-March-2020.pdf,Kapchorua-Financial-Statements-for-the-year-ended-31st-March-2020.pdf
Kapchorua Tea Kenya Plc accounts for the year ended 31st March 2019,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Tea-Kenya-Plc-accounts-for-the-year-ended-31st-March-2019.pdf,Kapchorua-Tea-Kenya-Plc-accounts-for-the-year-ended-31st-March-2019.pdf
