title,url
ANNUAL REPORT 2025,https://www.longhornpublishers.com/wp-content/uploads/2025/11/Annual-Report-2025_compressed-1.pdf
ANNUAL REPORT 2024,https://www.longhornpublishers.com/wp-content/uploads/2024/11/Annual-Report-2024-Final_compressed-2.pdf
ANNUAL REPORT 2023,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2023.pdf
ANNUAL REPORT 2022,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2022-1.pdf
ANNUAL REPORT 2021,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2021-1.pdf
ANNUAL REPORT 2020,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2020.pdf
ANNUAL REPORT 2019,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2019.pdf
ANNUAL REPORT 2018,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2018.pdf
ANNUAL REPORT 2017,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2017.pdf
ANNUAL REPORT 2016,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2016.pdf
ANNUAL REPORT 2015,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2015.pdf
ANNUAL REPORT 2014,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2014.pdf
HALF YEAR FY 2026 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2026/02/Financials-HY-2025-AD-4.pdf
FULL YEAR FY 2025 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2025/11/Press-Release-Financials-FY-2025-v2.pdf
HALF YEAR FY 2025 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2025/02/Financials-HY-2024-AD.pdf
FULL YEAR FY 2024 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/09/Press-Release-Financials-FY-2024.pdf
HALF YEAR FY 2024 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/04/Half-year-results-Dec-2023.pdf
FULL YEAR FY 2023 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-22-23.pdf
HALF YEAR FY 2023 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-22-23.pdf
FULL YEAR FY 2022 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-21-22.pdf
HALF YEAR FY 2022 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-21-22.pdf
FULL YEAR FY 2021 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-20-21.pdf
HALF YEAR FY 2021 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-20-21.pdf
FULL YEAR FY 2020 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-19-20.pdf
HALF YEAR FY 2020 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-19-20.pdf
HALF YEAR FY 2019 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-18-19.pdf
FULL YEAR FY 2018 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-17-18.pdf
HALF YEAR FY 2018 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-results-17-18.pdf
FULL YEAR FY 2016 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-15-16.pdf
HALF YEAR FY 2016 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-results-15-16.pdf
FULL YEAR FY 2015 ABRIDGED REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Full-Year-Results-14-15.pdf
HALF YEAR FY 2015 INTERIM REPORT,https://www.longhornpublishers.com/wp-content/uploads/2024/02/LH-Half-Year-Results-14-15.pdf
