record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier,publication_date
NSE-00001,Safaricom PLC,SCOM,Annual / full-year,Annual report,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00002,Safaricom PLC,SCOM,Semi-annual / half-year,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/team/dividend-announcement.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00003,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/bu/SAFARICOM-OPT-IN-FORM.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00004,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_Indemnity_Form_updated_3.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00005,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2026_Safaricom_Annual_Report_Updated.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00006,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/annual-2025-report.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00007,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2025/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00008,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2024-Annual-Report-Update.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00009,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2024/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00010,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2023-Safaricom-Annual-Report.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00011,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2023/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00012,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/Safaricom_IR_2022_Final.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00013,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2022/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00014,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2021_Annual_Report_Single_Spread_Final.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00015,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2021/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00016,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/Safaricom_AR2020_bookmarked_ONLINE_29_07_2020.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00017,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://safaricom.co.ke/annualreport_2020,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00018,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_Annual_Report_2019.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00019,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2019/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00020,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_annual_report_2018.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00021,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2018/,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00022,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_2017_Annual_Report.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00023,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_Limited_2016_Annual_Report.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00024,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/annual_report_2015.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00025,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/annual_report_2014.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00026,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Annual_Report_2013_compressed_.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
NSE-00027,Safaricom PLC,SCOM,Periodic results material,Periodic results material,,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Annual_Report_2012_Final.pdf,linked from issuer page,application/pdf (inferred from source link),Issuer website,
