record_id,issuer,ticker,listing_status,report_frequency,document_subtype,core_report_flag,report_year_label,report_period_end,publication_date,document_title,webpage_title,source_page_url,download_url,source_tier,content_type,http_status,link_verification_status,validation_date,validation_method,local_file,local_bytes,sha256,dedupe_group,collection_date,notes,content_type_observed,final_url,validation_error
NSE-00001,Safaricom PLC,SCOM,current NSE page,Annual / full-year,Annual report,Yes,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,Issuer website,application/pdf (inferred from source link),linked from issuer page,HTTP 403 sample-validated; issuer/CDN access denied in sandbox,2026-08-27,GET range,,,,0ee5f702da2938a0,2026-08-27,,text/html,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,
NSE-00002,Safaricom PLC,SCOM,current NSE page,Semi-annual / half-year,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/team/dividend-announcement.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,HTTP 403 sample-validated; issuer/CDN access denied in sandbox,2026-08-27,GET range,,,,22a627da0212dba3,2026-08-27,,text/html,https://www.safaricom.co.ke/images/team/dividend-announcement.pdf,
NSE-00003,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/bu/SAFARICOM-OPT-IN-FORM.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,HTTP 403 sample-validated; issuer/CDN access denied in sandbox,2026-08-27,GET range,,,,771d7f40cc931c1b,2026-08-27,,text/html,https://www.safaricom.co.ke/images/bu/SAFARICOM-OPT-IN-FORM.pdf,
NSE-00004,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Investorrelation/Safaricom_Indemnity_Form_updated_3.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00005,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2026_Safaricom_Annual_Report_Updated.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00006,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/annual-2025-report.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00007,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2025/,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00008,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2024-Annual-Report-Update.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00009,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/annualreport_2024/,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
NSE-00010,Safaricom PLC,SCOM,current NSE page,Periodic results material,Periodic results material,No,,,,Safaricom — Annual Reports,Safaricom — Annual Reports,https://www.safaricom.co.ke/investor-relations-landing/reports/annual-reports,https://www.safaricom.co.ke/images/Downloads/2023-Safaricom-Annual-Report.pdf,Issuer website,application/pdf (inferred from source link),linked from issuer page,Linked from official issuer page; direct HTTP validation pending,,official source-page link capture,,,,771d7f40cc931c1b,2026-08-27,,,,
