title,url,filename
2025 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2026/05/Sameer-Africa-PLC-Annual-Report-2025.pdf,Sameer-Africa-PLC-Annual-Report-2025.pdf
2024 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2025/06/SAPLC-Annual-Report-2024_web_.pdf,SAPLC-Annual-Report-2024_web_.pdf
2022 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2023/06/Annual-Report-2022-WEB_compressed.pdf,Annual-Report-2022-WEB_compressed.pdf
2021 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2022/06/2021-Annual-Report-and-Financial-Statements.pdf,2021-Annual-Report-and-Financial-Statements.pdf
2020 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2021/05/Annual-Report-2020.pdf,Annual-Report-2020.pdf
2019 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2020/06/SAPLC-Annual-Report-2019.pdf,SAPLC-Annual-Report-2019.pdf
2018 Annual Report and Financial Statements,https://sameerafrica.com/wp-content/uploads/2019/06/Sameer-Africa-PLC-Annual-Report-2018-1.pdf,Sameer-Africa-PLC-Annual-Report-2018-1.pdf
2017 Integrated Annual Report and Financial Statements,https://sameerafrica.com/downloads/reports/Sameer%20Africa%20Annual%20Report%202017.pdf,Sameer%20Africa%20Annual%20Report%202017.pdf
2016 Integrated Annual Report and Financial Statements,https://sameerafrica.com/downloads/reports/Integrated%20Financial%20Report%202016.pdf,Integrated%20Financial%20Report%202016.pdf
2015 Integrated Annual Report and Financial Statements,https://sameerafrica.com/images/downloads/reports/2015%20Annual%20Integrated%20Annual%20Report%20and%20Financial%20Statement%20-%20Final.pdf,2015%20Annual%20Integrated%20Annual%20Report%20and%20Financial%20Statement%20-%20Final.pdf
2014 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/2014%20Annual%20Report%20Book%20-%20Final.pdf,2014%20Annual%20Report%20Book%20-%20Final.pdf
2013 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/2013%20ANNUAL%20REPORT%20AND%20FINANCIAL%20STATEMENTS.pdf,2013%20ANNUAL%20REPORT%20AND%20FINANCIAL%20STATEMENTS.pdf
2012 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/Financial_Report_2012_Final%20Copy.pdf,Financial_Report_2012_Final%20Copy.pdf
2012 Sameer Africa Quarter Three Interim Results,https://sameerafrica.com/downloads/reports/Sameer_2012_Financial_STATEMENT.pdf,Sameer_2012_Financial_STATEMENT.pdf
2011 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/sameer-africa_2011.pdf,sameer-africa_2011.pdf
2010 Final Sameer Annual Report,https://sameerafrica.com/downloads/reports/Final_Sameer_Annual_Report_2010.pdf,Final_Sameer_Annual_Report_2010.pdf
2009 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/Sameer_AnnualReport2009.pdf,Sameer_AnnualReport2009.pdf
2008 Sameer Africa Annual Report,https://sameerafrica.com/downloads/reports/SAMEER_AFRICA_ANNUAL_REPORT_FINAL%20_STATEMENTS_2008-1.pdf,SAMEER_AFRICA_ANNUAL_REPORT_FINAL%20_STATEMENTS_2008-1.pdf
2007 Final Sameer Annual Report,https://sameerafrica.com/downloads/reports/SAL_Financial_Results_2007.pdf,SAL_Financial_Results_2007.pdf
2025 Half Year Financial Results,https://sameerafrica.com/wp-content/uploads/2025/08/Results-Announcement-Half-Year-2025.pdf,Results-Announcement-Half-Year-2025.pdf
2023 Half Year Financial Results,https://sameerafrica.com/wp-content/uploads/2023/08/2023-Half-Year-Financial-Results.pdf,2023-Half-Year-Financial-Results.pdf
2022 Unaudited Half Year Financial Results (June),https://sameerafrica.com/wp-content/uploads/2022/08/UNAUDITED-FINANCIAL-RESULTS-30TH-JUNE-2022.pdf,UNAUDITED-FINANCIAL-RESULTS-30TH-JUNE-2022.pdf
2021 Half Year Financial Results,https://sameerafrica.com/wp-content/uploads/2021/08/2021-HALF-YEAR-FINANCIAL-RESULTS-1.pdf,2021-HALF-YEAR-FINANCIAL-RESULTS-1.pdf
2020 Half Year Financial Results,https://sameerafrica.com/wp-content/uploads/2020/08/2020-Half-Year-Financial-Results-Announcement-Revised.pdf,2020-Half-Year-Financial-Results-Announcement-Revised.pdf
