title,url,filename
SanlamAllianz Holdings (Kenya) Integrated Report & Financial Statements 2025,https://ke.sanlamallianz.com/uploads/files/2026/Sanlam-Allianz-AR-2025---Online-Version-updated.pdf,Sanlam-Allianz-AR-2025---Online-Version-updated.pdf
Sanlam Annual Report 2024,https://ke.sanlamallianz.com/uploads/files/Sanlam%20Annual%20Report%202024.pdf,Sanlam%20Annual%20Report%202024.pdf
Sanlam Kenya PLC Annual Report 2023,https://ke.sanlamallianz.com/uploads/files/Sanlam Kenya PLC audited results.pdf,Sanlam Kenya PLC audited results.pdf
Sanlam Kenya PLC unaudited results 30 June 2023,https://ke.sanlamallianz.com/uploads/files/Sanlam Kenya PLC unaudited results 30 June 2023.pdf,Sanlam Kenya PLC unaudited results 30 June 2023.pdf
Sanlam Kenya PLC Unaudited Results - 30 June 2022,https://ke.sanlamallianz.com/uploads/files/sanlam%20plc%202022%20results.pdf,sanlam%20plc%202022%20results.pdf
Sanlam Kenya PLC 2022 Annual Report,https://ke.sanlamallianz.com/uploads/files/Sanlam-AR-2023.pdf,Sanlam-AR-2023.pdf
Sanlam Kenya PLC 2021 Annual Report,https://ke.sanlamallianz.com/uploads/filesSanlam%20Annual%20Report%202021.pdf,filesSanlam%20Annual%20Report%202021.pdf
Sanlam Kenya PLC 2020 Annual Report,https://ke.sanlamallianz.com/uploads/files/SANLAM-ANNUAL-REPORT-KENYA-PLC.pdf,SANLAM-ANNUAL-REPORT-KENYA-PLC.pdf
Sanlam Kenya PLC 2019 Annual Report,https://ke.sanlamallianz.com/uploads/files/Sanlam%202019%20Annual%20Report%20Website.pdf,Sanlam%202019%20Annual%20Report%20Website.pdf
2019 Interim Results,https://ke.sanlamallianz.com/uploads/files/Press%20Release%20FS%200619%20July%202019.pdf,Press%20Release%20FS%200619%20July%202019.pdf
2019 Financial Results,https://ke.sanlamallianz.com/uploads/files/Sanlam%20Kenya%20Plc%20Results.pdf,Sanlam%20Kenya%20Plc%20Results.pdf
2018 Annual Report,https://ke.sanlamallianz.com/uploads/files/Annual%20Report_2018.pdf,Annual%20Report_2018.pdf
2018 Financial Results,https://ke.sanlamallianz.com/uploads/files/Sanlam%20Financials%204pm.pdf,Sanlam%20Financials%204pm.pdf
2017 Annual Report,https://ke.sanlamallianz.com/uploads/files/Annual%20Report%202017.pdf,Annual%20Report%202017.pdf
2017 Financial Results,https://ke.sanlamallianz.com/uploads/files/Financial%20Results%202017.pdf,Financial%20Results%202017.pdf
2016 Annual Report,https://ke.sanlamallianz.com/uploads/files/Annual%20Report%202016.pdf,Annual%20Report%202016.pdf
2016 Interim Results,https://ke.sanlamallianz.com/uploads/files/Interim%20Results%202016.pdf,Interim%20Results%202016.pdf
2015 Annual Report and Financial Statements,https://ke.sanlamallianz.com/uploads/files/Annual%20Report%202015.pdf,Annual%20Report%202015.pdf
