title,url,filename
WPP-SCANGROUP PLC HALF YEAR RESULTS 2026,https://cdn.wpp-scangroup.com/wppscangroupsite/2026/WPP-SCANGROUP-PLC-HALF-YEAR-RESULTS-2026.pdf,WPP-SCANGROUP-PLC-HALF-YEAR-RESULTS-2026.pdf
WPP-SCANGROUP PLC ANNUAL REPORT 2025,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-ANNUAL-REPORT-2025.pdf,WPP-ANNUAL-REPORT-2025.pdf
WPP-SCANGROUP PLC SIGNED FINANCIAL STATEMENTS YEAR ENDED 31ST DECEMBER 2025,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-SCANGROUP-PLC-SIGNED-FINANCIAL-STATEMENTS-YEAR-ENDED-31-DECEMBER-2025.pdf,WPP-SCANGROUP-PLC-SIGNED-FINANCIAL-STATEMENTS-YEAR-ENDED-31-DECEMBER-2025.pdf
WPP-SCANGROUP PLC PUBLICATION OF THE 2025 FINANCIAL YEAR RESULTS,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-SCANGROUP-PLC-PUBLICATION-OF-THE-2025-FINANCIAL-YEAR-RESULTS.pdf,WPP-SCANGROUP-PLC-PUBLICATION-OF-THE-2025-FINANCIAL-YEAR-RESULTS.pdf
WPP-SCANGROUP PLC HALF YEAR FINANCIAL RESULTS 2025,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-HALF-YEAR-FINANCIAL-RESULTS-2025.pdf,WPP-SCANGROUP-PLC-HALF-YEAR-FINANCIAL-RESULTS-2025.pdf
INTEGRATED REPORT FOR THE YEAR ENDED 31 DECEMBER 2024,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/downloads/WPP-SCANGROUP-PLC-2025-ANNUAL-REPORT.pdf,WPP-SCANGROUP-PLC-2025-ANNUAL-REPORT.pdf
WPP-SCANGROUP PLC FINANCIAL STATEMENTS 2024,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-FINANCIAL-STATEMENTS-2024.pdf,WPP-SCANGROUP-PLC-FINANCIAL-STATEMENTS-2024.pdf
WPP-SCANGROUP PLC FINANCIAL RESULTS 2024 PRESS RELEASE,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/FY-2024-Financial-results-Press-release.pdf,FY-2024-Financial-results-Press-release.pdf
WPP-SCANGROUP PLC PUBLICATION OF THE 2024 FINANCIAL RESULTS,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-2024-FINANCIAL-RESULTS-ANNOUNCEMENT.pdf,WPP-SCANGROUP-PLC-2024-FINANCIAL-RESULTS-ANNOUNCEMENT.pdf
WPP-SCANGROUP PLC PRESS RELEASE STATEMENT ON ODPC DETERMINATION DATED 25TH OCTOBER 2024,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2024/WPP-Scangroup-Plc-press-release-on-ODPC-determination-dated-25th-October-24.pdf,WPP-Scangroup-Plc-press-release-on-ODPC-determination-dated-25th-October-24.pdf
