title,url
2026 Q1 Unaudited Financial Results,https://av.sc.com/ke/content/docs/ke-statement-of-financial-position.pdf
Abridged Financials FY 2025,https://av.sc.com/ke/content/docs/ke-abridged-financials-fy-2025.pdf
Policies for Shareholder Approval - 2026 Annual General Meeting,https://av.sc.com/ke/content/docs/ke-policies-for-shareholder-annual-general-meeting.pdf
2025 Annual Report,https://av.sc.com/ke/content/docs/ke-annual-report-2025.pdf
2025 Q3 Financial Results,https://av.sc.com/ke/content/docs/ke-financial-results-q3-2025.pdf
Q3 2025 Financial Results - Press release,https://av.sc.com/ke/content/docs/ke-sc-financial-results-q3-2025.pdf
2025 Q1 Unaudited Financial results,https://av.sc.com/ke/content/docs/ke-q1-2025-unaudited-financials-results.pdf
Abridged Financials FY 2024,https://av.sc.com/ke/content/docs/ke-abridged-financials-2024.pdf
Full Year 2025 Results Presentation,https://av.sc.com/ke/content/docs/sc-ke-fy-investor-briefing.pdf
2024 Annual Report,https://av.sc.com/ke/content/docs/ke-sc-annual-report-2024.pdf
Full Year 2024 Results Presentation,https://av.sc.com/ke/content/docs/ke-investor-briefing-19-march-2025.pdf
2024 Q3 Financial Results,https://av.sc.com/ke/content/docs/ke-sc-financials-full-nation.pdf
Q3 2024 Financial Results – Press Release,https://av.sc.com/ke/content/docs/ke-scb-q3-2024-results-press-release.pdf
Abridged Financials FY 2023.,https://av.sc.com/ke/content/docs/ke-sc-abridged-financials.pdf
2024 Q1 Unaudited Financial results,https://av.sc.com/ke/content/docs/ke-scbk-financial-results-q1-2024.pdf
2023 Annual Report,https://av.sc.com/ke/content/docs/ke-sc-2023-annual-report.pdf
Full Year 2023 Results Presentation.,https://av.sc.com/ke/content/docs/ke-fy-23-results-and-strategy-presentation-vff.pdf
2023 Q3 Unaudited Financial results,https://av.sc.com/ke/content/docs/ke-sc-q3-publication.pdf
Q1 2023 Unaudited Results,https://av.sc.com/ke/content/docs/ke-scb-2023-q1-results.pdf
2023 Annual General Meeting Notice,https://av.sc.com/ke/content/docs/ke-2023-annual-general-meeting-notice.pdf
2022 Audited Financial Statements,https://av.sc.com/ke/content/docs/ke-2023-audited-financial-statements.pdf
2022 Annual Report,https://av.sc.com/ke/content/docs/ke-scb-annual-report-2022.pdf
2022 Annual General Meeting Notice,https://av.sc.com/ke/content/docs/ke-scb-2022-annual-general-meeting-notice.pdf
2021 Annual Report,https://av.sc.com/ke/content/docs/ke-scbkl-2021-annual-report.pdf
2021 Annual General Meeting Notice,https://av.sc.com/ke/content/docs/ke-2021-annual-general-meeting-notice.pdf
2020 Annual Report,https://av.sc.com/ke/content/docs/ke-2020-annual-report.pdf
2020 Full Year Audited Results,https://av.sc.com/ke/content/docs/ke-full-year-2020-audited-results.pdf
Q3 Unaudited Results,https://av.sc.com/ke/content/docs/ke-scb-q3-un-audited-results.pdf
H1 2020 Financials,https://av.sc.com/ke/content/docs/ke-2020-q2-un-audited-results.pdf
Q1 Unaudited results,https://av.sc.com/ke/content/docs/ke-q1-unaudited-results-2020.pdf
2020 Annual General Meeting Notice,https://av.sc.com/ke/content/docs/ke-2019-annual-general-meeting-notice.pdf
2019 Annual Report,https://av.sc.com/ke/content/docs/ke-2019-annual-report.pdf
Proposed Dividend For The 2019 Financial Year,https://av.sc.com/ke/content/docs/ke-proposed-dividend-for-the-2019-financial-year.pdf
Full Year 2019 Audited Results,https://av.sc.com/ke/content/docs/ke-full-year-2019-audited-results.pdf
SCBK FY 2019 Results Presentation,https://av.sc.com/ke/content/docs/ke-scbk-fy-2019-results-presentation.pdf
Q3 Un-audited results,https://av.sc.com/ke/content/docs/ke-q3-un-audited-results.pdf
H1 Results Presentation,https://av.sc.com/ke/content/docs/ke-h1-results-presentation..pdf
H1 Un-Audited Results,https://av.sc.com/ke/content/docs/ke-2019-q2-un-audited-results.pdf
Q1 Un-Audited Results,https://av.sc.com/ke/content/docs/ke-2019-Q1-un-audited-results.pdf
2018 Annual Report,https://av.sc.com/ke/content/docs/ke-scb-annual-report.pdf
Full Year 2018 Audited Results,https://av.sc.com/ke/content/docs/ke-q4-un-audited-results-2018.pdf
Q3 Un-Audited Results 2018,https://www.sc.com/global/av/ke-q3-un-audited-results-2018.pdf
H1 Un-audited results,https://www.sc.com/global/av/ke-h1-un-audited-results.pdf
Q1 un-audited results,https://www.sc.com/global/av/ke-unauditedresults.pdf
2017 Annual Report,https://www.sc.com/global/av/ke-scb-annual-report-final-2017-online.pdf
Full Year 2017 Audited Results,https://www.sc.com/global/av/ke-full-year-audited-results.pdf
2017 Q3 un-audited results,https://www.sc.com/global/av/ke-q3-unaudited-results.pdf
H1 2017 Unaudited Results,https://www.sc.com/global/av/ke-h12017-unaudited-results.pdf
