title,url,filename
,https://www.standardmedia.co.ke/corporate/assets/reports/SG_ANNUAL_REPORT_2024.pdf,SG_ANNUAL_REPORT_2024.pdf
unaudited group results for the 6 month period ended 30 june 2025,https://www.standardmedia.co.ke/corporate/assets/announcements/unaudited_group_results_for_the_6_month_period_ended_30_june_2025.pdf,unaudited_group_results_for_the_6_month_period_ended_30_june_2025.pdf
Financial Statement Year 2024,https://www.standardmedia.co.ke/corporate/assets/reports/Financial_Statement_Year_2024.pdf,Financial_Statement_Year_2024.pdf
AUDITED GROUP RESULTS FOR THE YEAR ENDED 31 DECEMBER 2024,https://www.standardmedia.co.ke/corporate/assets/reports/AUDITED_GROUP_RESULTS_FOR_THE_YEAR_ENDED_31_DECEMBER_2024.pdf,AUDITED_GROUP_RESULTS_FOR_THE_YEAR_ENDED_31_DECEMBER_2024.pdf
,https://www.standardmedia.co.ke/corporate/assets/assets/reports/annualreport_2023_v1.pdf,annualreport_2023_v1.pdf
annualreport 2023 v1,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2023_v1.pdf,annualreport_2023_v1.pdf
,https://www.standardmedia.co.ke/corporate/assets/assets/reports/sg_annual_report_2022.pdf,sg_annual_report_2022.pdf
sg annual report 2022,https://www.standardmedia.co.ke/corporate/assets/reports/sg_annual_report_2022.pdf,sg_annual_report_2022.pdf
PUBLICATION OF THE AUDITED RESULTS FOR THE PERIOD ENDED 31ST DECEMBER 2023,https://www.standardmedia.co.ke/corporate/assets/reports/PUBLICATION_OF_THE_AUDITED_RESULTS_FOR_THE_PERIOD_ENDED_31ST_DECEMBER_2023.pdf,PUBLICATION_OF_THE_AUDITED_RESULTS_FOR_THE_PERIOD_ENDED_31ST_DECEMBER_2023.pdf
June 23 Publication,https://www.standardmedia.co.ke/corporate/assets/reports/June_23_Publication.pdf,June_23_Publication.pdf
,https://www.standardmedia.co.ke/corporate/assets/assets/reports/TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf,TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf
TSG PLC ANNUAL REPORT FOR THE FY 2021,https://www.standardmedia.co.ke/corporate/assets/reports/TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf,TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf
The Standard Group PLC Audited Group Results for the year ended 31st Dec 2022,https://www.standardmedia.co.ke/corporate/assets/reports/The_Standard_Group_PLC_Audited_Group_Results_for_the_year_ended_31st_Dec_2022.pdf,The_Standard_Group_PLC_Audited_Group_Results_for_the_year_ended_31st_Dec_2022.pdf
THE STANDARD GROUP PLC HALF YEAR UNAUDITED RESULTS FOR THE PERIOD ENDED 30062022,https://www.standardmedia.co.ke/corporate/assets/reports/THE_STANDARD_GROUP_PLC_HALF_YEAR_UNAUDITED_RESULTS_FOR_THE_PERIOD_ENDED_30062022.pdf,THE_STANDARD_GROUP_PLC_HALF_YEAR_UNAUDITED_RESULTS_FOR_THE_PERIOD_ENDED_30062022.pdf
THE STANDARD GROUP PLC AUDITED FINANCIAL STATEMENTS FOR THE STANDARD GROUP PLC PERIOD ENDED 31ST  DECEMBER 2021,https://www.standardmedia.co.ke/corporate/assets/reports/THE_STANDARD_GROUP_PLC_AUDITED_FINANCIAL_STATEMENTS_FOR_THE_STANDARD_GROUP_PLC_PERIOD_ENDED_31ST _DECEMBER_2021.pdf,THE_STANDARD_GROUP_PLC_AUDITED_FINANCIAL_STATEMENTS_FOR_THE_STANDARD_GROUP_PLC_PERIOD_ENDED_31ST _DECEMBER_2021.pdf
,https://www.standardmedia.co.ke/corporate/sdteam/documents/ANNUAL REPORT 2021 FINAL 18 Financial Statements.pdf,ANNUAL REPORT 2021 FINAL 18 Financial Statements.pdf
the standard group plc half year result 6 months 2021,https://www.standardmedia.co.ke/corporate/assets/reports/the-standard-group-plc-half-year-result-6-months-2021.pdf,the-standard-group-plc-half-year-result-6-months-2021.pdf
THE STANDARD GROUP PLC AUDITED RESULTS FOR THE YEAR ENDED 31.12.2020,https://www.standardmedia.co.ke/corporate/sdteam/THE STANDARD GROUP PLC AUDITED RESULTS FOR THE YEAR ENDED 31.12.2020.pdf,THE STANDARD GROUP PLC AUDITED RESULTS FOR THE YEAR ENDED 31.12.2020.pdf
,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2019.pdf,annualreport_2019.pdf
Standard Group Financials,https://www.standardmedia.co.ke/corporate/assets/reports/Standard_Group_Financials.pdf,Standard_Group_Financials.pdf
annualreport 2018,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2018.pdf,annualreport_2018.pdf
annualreport 2017,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2017.pdf,annualreport_2017.pdf
annualreport 2016,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2016.pdf,annualreport_2016.pdf
Annual Report SG 2018,https://www.standardmedia.co.ke/corporate/assets/reports/Annual_Report_SG_2018.pdf,Annual_Report_SG_2018.pdf
annualreport2017,https://www.standardmedia.co.ke/corporate/assets/annualreport2017.pdf,annualreport2017.pdf
annualreport,https://www.standardmedia.co.ke/corporate/annualreport.pdf,annualreport.pdf
annualreport2015,https://www.standardmedia.co.ke/corporate/annualreport2015.pdf,annualreport2015.pdf
annualreport2014,https://www.standardmedia.co.ke/corporate/annualreport2014.pdf,annualreport2014.pdf
annualreport2013,https://www.standardmedia.co.ke/corporate/annualreport2013.pdf,annualreport2013.pdf
annualreport2012,https://www.standardmedia.co.ke/corporate/annualreport2012.pdf,annualreport2012.pdf
