title,url
TotalEnergies Marketing Kenya PLC – Summary of un-audited Financial Statements for the period ended 30 June 2026,https://evp-api-totalenergies-dam-prod-cdn.wedia-group.com/api/media/play.html?PlayerUid=y60338b14d0a1d&MediaUid=b676366b-d931-45b4-a0e2-53ed82301c36
Annual Report & Financial Statements 2025,"https://dxm.content-center.totalenergies.com:443/api/wedia/dam/variation/xysh7dg731ta7eabxzzqgga7wh/original,default?hash=gcan6cbwfh3dyctsryau1qti8y7dype&dxm_cors_orign=76ABE9E30D5586637AC358998F93E703&download=true"
Annual Report & Financial Statements 2024,"https://dxm.content-center.totalenergies.com:443/api/wedia/dam/variation/xysh7dg731tahyzrc7bk8nt74y/original,default?hash=geh16cbifh3dyctiryad1qtugr7dyqy&dxm_cors_orign=76ABE9E30D5586637AC358998F93E703&download=true"
Annual Report & Financials Statements for the Year Ended 31st December 2023,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731tahgrhsfdmkdguto/original,default"
Annual Report to Summary of Audited Financial Statements for the Year Ended 31st December 2022,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7eyyzo1mmtq1hy/original,default"
Annual Report & Financials Statements for the Year Ended 31st December 2021,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731tahiudhsyh89337y/original,default"
Annual report & Financials statements For The Year Ended 31st December 2020,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7bz3qhfa98rkxc/original,default"
Annual Report and Financial Statements for the year ended 31 December 2019,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7mmgwymr9upb6a/original,default"
Annual Report and Financial Statements for the year ended 31 December 2018,http://blog.total.co.ke/pdf/annual-report-and-financial-statements-for-the-year-ended-31-december-2018.pdf
Annual Report and Financial Statements for the year ended 31 December 2017,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7hgmpfm17mktqa/original,default"
Annual Report and Financial Statements for the year ended 31 December 2016,http://blog.total.co.ke/pdf/Annual-Report-and-Financial-Statements-for-the-year-ended-31-December-2016.pdf
Annual Report and Financial Statements for the year ended 31 December 2015,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7fz79bdjkahuao/original,default"
"Annual Financial Report for the year ended December 31, 2014",http://blog.total.co.ke/pdf/Total-Annual-Report-2014.pdf
Annual Financial Report 2013,http://blog.total.co.ke/pdf/Total-Annual-Report-2013.pdf
Audited Full-year Financial Statements 2012,http://blog.total.co.ke/pdf/TKL-RESULTS-December-2012.pdf
Audited Full-year Financial Statements 2011,http://blog.total.co.ke/pdf/TKL-AUDITED-RESULTS-2011.pdf
Audited Full Year Financial Statements 2010,http://blog.total.co.ke/pdf/TKL-RESULTS-Dec-2010.pdf
2009 Financial Statements End of Year,http://blog.total.co.ke/pdf/TKL-final-Results-2009.pdf
Audited Full Year Financial Statements 2008,http://blog.total.co.ke/pdf/TKL-final-Results-2008.pdf
Audited Full Year Financial Statements 2007,http://blog.total.co.ke/pdf/TKL-AUDITED-RESULTS-2007.pdf
Audited Full Year Financial Statements 2006,http://blog.total.co.ke/pdf/Total-Results-DEC-2006.pdf
Audited Full Year Financial Statements 2005,http://blog.total.co.ke/pdf/TKL-Results-2005.pdf
