record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2025,Combined Annual and Sustainability Report 2025 (8.4 MB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2024,Combined Annual and Sustainability Report 2024 (10 MB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2023,Annual Report 2023 (6599 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2022,Annual Report 2022 (20737 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2021,Annual Report 2021 (17713 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2020,Annual Report 2020 (18699 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2019,Annual Report 2019 (19054 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2018,Annual Report 2018 (7875 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2017,Annual Report 2017 (10321 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2016,Annual Report 2016 (5438 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2015,Annual Report 2015 (5676 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2015.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2014,Annual Report 2014 (6076 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2013,Annual Report 2013 (5729 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,British American Tobacco Kenya PLC,BAT,Annual / full-year,Annual report,2012,Annual Report 2012 (2706 KB),https://www.batkenya.com/investors-and-reporting/financial-sustainability-reports,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/Annual-Report-2012.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
