record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2025,2025 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/2025-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2024,2024 Annual Report Financial Statement,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/2024-annual-report--fs.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2011,2011 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2011.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2012,2012 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2012.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2013,2013 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2014,2014 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2015,2015 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2015.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2016,2016 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2017,2017 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2018,2018 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2020,2020 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2021,2021 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,BOC Kenya PLC,BOC,Annual / full-year,Annual report,2023,2023 Annual Report,https://www.boc.co.ke/our-business/investor-relations,https://assets.linde.com/-/media/global/africa/kenya/annual-reports/reports/annual-report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
