record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2025,CIC Group PLC Annual Report and Financial Statements 2025 2026 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2026/05/CIC-GROUP-ANNUAL-REPORT-LATEST-2025-7_compressed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2025,CIC Group PLC Financial Results 2025 2026 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2026/03/CIC-Group-Full-Year-2025-for-Print.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2024,CIC LIFE Annual Report & Financial Statements 2024 2025 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2025/05/CIC-LIFE-ANNUAL-REPORT-FINANCIAL-STATEMENTS-2024._compressed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2025,CIC Group Annual Report and Financial Statements 2025 Annual Report 2026 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2026/05/CIC-GROUP-ANNUAL-REPORT-LATEST-2025-5_compressed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2025,CIC Group Annual Report and Financial Statements 2025 Annual Report 2026 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2026/04/The-CIC-Group-2025-Signed-FS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2024,CIC Integrated Report 2024 Annual Report 2025 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2025/05/CIC-Integrated-Report-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2024,CIC Group Annual Report 2024 Annual Report 2024 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2025/04/CIC-Group-Annual-Report-2024-.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2023,The CIC Insurance Group Integrated Report and Financial Statements 2023 Annual Report 2023 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2024/06/The-CIC-Insurance-Group-Integrated-Report-and-Financial-Statements-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2022,The CIC Insurance Group Integrated Financial Statements 2022 Annual Report 2022 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2023/05/The-CIC-Insurance-Group-PLC-Integrated-Report-Financial-Statements-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,CIC Insurance Group PLC,CIC,Annual / full-year,Annual report,2021,CIC Integrated Financial Report 2021 Annual Report 2021 Download,https://www.cicinsurancegroup.com/investor-relations/,https://www.cicinsurancegroup.com/wp-content/uploads/2022/05/The-CIC-Insurance-Group-PLC-Annual-Report-Financial-Statements-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
