record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Crown Paints Kenya PLC,CRWN,Periodic results material,Financial results / statements,2026,HY2026 Unaudited Results Press Release,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/hy2026-unaudited-results-press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Crown Paints Kenya PLC,CRWN,Annual / full-year,Annual report,2025,2025 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/2025-annual-report-and-financial-statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Crown Paints Kenya PLC,CRWN,Periodic results material,Financial results / statements,2024,CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2024,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-audited-summary-consolidated-results-for-the-financial-year-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Crown Paints Kenya PLC,CRWN,Annual / full-year,Annual report,2024,2024 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/2024-annual-report-and-financial-statements-1-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Crown Paints Kenya PLC,CRWN,Semi-annual / half-year,Financial results / statements,2024,2024 HALF YEAR REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-2024-half-year-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Crown Paints Kenya PLC,CRWN,Periodic results material,Financial results / statements,2023,CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2023,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/2023-summary-consolidated-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Crown Paints Kenya PLC,CRWN,Annual / full-year,Annual report,2023,2023 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Crown Paints Kenya PLC,CRWN,Annual / full-year,Annual report,2022,2022 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Crown Paints Kenya PLC,CRWN,Annual / full-year,Annual report,2021,2021 ANNUAL REPORT AND FINANCIAL STATEMENTS,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-annual-report-2021-new-for-web-6-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Crown Paints Kenya PLC,CRWN,Periodic results material,Financial results / statements,2020,CROWN PAINTS KENYA PLC AUDITED SUMMARY CONSOLIDATED RESULTS FOR THE FINANCIAL YEAR 2020,https://www.crownpaints.co.ke/about?tab=report#report,https://www.crownpaints.co.ke/storage/page-uploads/reports/crown-paints-kenya-plc-audited-summary-consolidated-results-for-the-financial-year-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
