record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,East African Breweries PLC,EABL,Annual / full-year,Annual report,2026,EABL Full Year 2026 Financial Results Presentation,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-full-year-2026-financial-results-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,East African Breweries PLC,EABL,Annual / full-year,Annual report,2026,EABL Full Year 2026 Financial Results Press Ad,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-full-year-2026-financial-results-press-ad.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,East African Breweries PLC,EABL,Annual / full-year,Annual report,2026,EABL Full Year 2026 Press Release,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-full-year-2026-press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,East African Breweries PLC,EABL,Semi-annual / half-year,Financial results / statements,2026,EABL Half Year 2026 Financial Results Presentation,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-half-year-2026-financial-results-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,East African Breweries PLC,EABL,Semi-annual / half-year,Financial results / statements,2026,EABL Half Year 2026 Financial Results Press Ad,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-half-year-2026-financial-results-press-ad.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,East African Breweries PLC,EABL,Semi-annual / half-year,Financial results / statements,2026,EABL Half Year 2026 Press Release,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2026/eabl-half-year-2026-press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,East African Breweries PLC,EABL,Annual / full-year,Annual report,2025,EABL F25 Full Year 2025 Financial Results Presentation,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/EABL-Full-Year-2025-Financial-Results-Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,East African Breweries PLC,EABL,Annual / full-year,Annual report,2025,EABL Full Year 2025 Financial Results Press Ad,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/eabl-f25-full-year-2025-financial-results-press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,East African Breweries PLC,EABL,Semi-annual / half-year,Financial results / statements,2025,EABL Half Year 2025 Financial Results Presentation,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/f25-hy-investor-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,East African Breweries PLC,EABL,Semi-annual / half-year,Financial results / statements,2025,EABL Half Year 2025 Financial Results Press Ad,https://www.eabl.com/investors/financial-results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/eabl-f25-half-year-results-press-ad-final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
