record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2025,Jubilee-Holdings-2025-Annual-Integrated-Report.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2026/06/Jubilee-Holdings-2025-Annual-Integrated-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Jubilee Holdings Limited,JUB,Periodic results material,Financial results / statements,2024,Jubilee-_annual_report_2024.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2025/05/Jubilee-_annual_report_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2023,Jubilee Insurance 2023 Annual Report.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2024/06/Jubilee Insurance 2023 Annual Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2022,Jubilee-Insurance-2022-Annual-Report-For-Upload.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Jubilee-Insurance-2022-Annual-Report-For-Upload.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2021,Jubilee-Insurance-2021-Annual-Report.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Jubilee-Insurance-2021-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2020,Jubilee-Insurance-2020-Annual-Report.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/08/Jubilee-Insurance-2020-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2018,Jubilee-Holdings-2018-Annual-Report.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2024/06/Jubilee-Holdings-2018-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2017,JHL-Annual-Report-2017.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/JHL-Annual-Report-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Jubilee Holdings Limited,JUB,Periodic results material,Financial results / statements,2016,Annual_Report-2016-1.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Annual_Report-2016-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2015,Jubilee-Annual-Report-2015-webversion.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Jubilee-Annual-Report-2015-webversion.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2014,Jubilee-Annual-report-2014-webversion.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Jubilee-Annual-report-2014-webversion.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Jubilee Holdings Limited,JUB,Annual / full-year,Annual report,2013,JHL-Annual-Report-2013-Dist.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/JHL-Annual-Report-2013-Dist.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Jubilee Holdings Limited,JUB,Periodic results material,Financial results / statements,2012,Annual_Report_2012.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Annual_Report_2012.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Jubilee Holdings Limited,JUB,Periodic results material,Financial results / statements,2011,Annual_Report_2011.pdf,https://jubileeinsurance.com/group/investor-relations/annual-reports/,https://jubileeinsurance.com/group/wp-content/uploads/2023/07/Annual_Report_2011.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
