record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2026,View Results Presentation,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2026/Stanbic Holdings Plc H1 2026 Financial Results Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2026,See results presentation,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2026/Stanbic Holdings 2025 Full Year Results Investor Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2026,Stanbic Holdings Plc Half Year Results 2026,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2026/Stanbic Holdings Plc H1 2026 Financial Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2025,Stanbic Holdings Plc Full Year Results 2025,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2026/Stanbic Holdings Plc 2025 Full Year Financial Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2025,Stanbic Holdings Plc Half Year Results Investor Presentation 2025,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2025/Stanbic Holdings H1 2025 Results - Investor Briefing Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2025,Stanbic Holdings Plc Half Year Results 2025,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2025/Stanbic Holdings Plc H1 2025 Financial Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2024,Stanbic Holdings Plc Audited Financial Statements 31st December 2024,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2025/Stanbic Holdings Plc Audited Financial Statements 31st December 2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2024,Stanbic Holdings Plc Full Year Results 2024,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2025/Stanbic Holdings Plc Full Year 2024 Financial Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2024,Stanbic Holdings Plc Full Year Investor Presentation 2024,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2025/Stanbic Holdings Investor Presentation - 2024 Full Year Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2024,Stanbic Holdings Plc Half Year Results 2024,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2024/Stanbic Holdings Plc Half Year 2024 Financial Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2024,Stanbic Holdings Plc Half Year Investor Presentation 2024,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2024/Investor Briefing Presentation Half Year 2024 Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2023,Stanbic Holdings Plc Audited Financial Statements 31st December 2023,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2023/Stanbic Holdings Plc December 2023 Final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2023,Stanbic Holdings Plc Full Year Results 2023,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2024/Stanbic Holdings results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2023,Stanbic Holdings Plc Full Year Results Presentation 2023,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2024/Stanbic Holdings Plc FY 2023 Results presentation-2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2023,Stanbic Holdings Plc Half Year Results 2023,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2023/Stanbic Holdings Plc.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Stanbic Holdings PLC,SBIC,Semi-annual / half-year,Financial results / statements,2023,Stanbic Holdings Plc Half Year Investor Presentation 2023,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2023/Stanbic Holdings Plc H1 2023 results presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Stanbic Holdings PLC,SBIC,Annual / full-year,Annual report,2022,Stanbic Holdings Plc Audited Financial Statements 31 st December 2022,https://www.stanbicbank.co.ke/kenya/personal/about-us/investor-relations,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable files/Stanbic Holdings PLC/Financials/2023/Stanbic Holdings Plc AFS 31 December 2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
