record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2026,TotalEnergies Marketing Kenya PLC – Summary of un-audited Financial Statements for the period ended 30 June 2026,https://totalenergies.ke/about-us/shareholder-information/financials,https://evp-api-totalenergies-dam-prod-cdn.wedia-group.com/api/media/play.html?PlayerUid=y60338b14d0a1d&MediaUid=b676366b-d931-45b4-a0e2-53ed82301c36,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2025,Annual Report & Financial Statements 2025,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com:443/api/wedia/dam/variation/xysh7dg731ta7eabxzzqgga7wh/original,default?hash=gcan6cbwfh3dyctsryau1qti8y7dype&dxm_cors_orign=76ABE9E30D5586637AC358998F93E703&download=true",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2024,Annual Report & Financial Statements 2024,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com:443/api/wedia/dam/variation/xysh7dg731tahyzrc7bk8nt74y/original,default?hash=geh16cbifh3dyctiryad1qtugr7dyqy&dxm_cors_orign=76ABE9E30D5586637AC358998F93E703&download=true",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2023,Annual Report & Financials Statements for the Year Ended 31st December 2023,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731tahgrhsfdmkdguto/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2022,Annual Report to Summary of Audited Financial Statements for the Year Ended 31st December 2022,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7eyyzo1mmtq1hy/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2021,Annual Report & Financials Statements for the Year Ended 31st December 2021,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731tahiudhsyh89337y/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2020,Annual report & Financials statements For The Year Ended 31st December 2020,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7bz3qhfa98rkxc/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2019,Annual Report and Financial Statements for the year ended 31 December 2019,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7mmgwymr9upb6a/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2018,Annual Report and Financial Statements for the year ended 31 December 2018,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/annual-report-and-financial-statements-for-the-year-ended-31-december-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2017,Annual Report and Financial Statements for the year ended 31 December 2017,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7hgmpfm17mktqa/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2016,Annual Report and Financial Statements for the year ended 31 December 2016,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/Annual-Report-and-Financial-Statements-for-the-year-ended-31-December-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2015,Annual Report and Financial Statements for the year ended 31 December 2015,https://totalenergies.ke/about-us/shareholder-information/financials,"https://dxm.content-center.totalenergies.com/api/wedia/dam/variation/xysh7dg731ta7fz79bdjkahuao/original,default",linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2014,"Annual Financial Report for the year ended December 31, 2014",https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/Total-Annual-Report-2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2013,Annual Financial Report 2013,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/Total-Annual-Report-2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2012,Audited Full-year Financial Statements 2012,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-RESULTS-December-2012.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2011,Audited Full-year Financial Statements 2011,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-AUDITED-RESULTS-2011.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2010,Audited Full Year Financial Statements 2010,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-RESULTS-Dec-2010.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2009,2009 Financial Statements End of Year,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-final-Results-2009.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2008,Audited Full Year Financial Statements 2008,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-final-Results-2008.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2007,Audited Full Year Financial Statements 2007,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-AUDITED-RESULTS-2007.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00021,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2006,Audited Full Year Financial Statements 2006,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/Total-Results-DEC-2006.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00022,TotalEnergies Marketing Kenya PLC,TOTL,Annual / full-year,Annual report,2005,Audited Full Year Financial Statements 2005,https://totalenergies.ke/about-us/shareholder-information/financials,http://blog.total.co.ke/pdf/TKL-Results-2005.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
