record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2025,FTG Annual Report Y2025m,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2026/06/03/FTG-Annual-Report-Y2025m_uid_6a1fdca703f92.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Flame Tree Group Holdings PLC,FTGH,Semi-annual / half-year,Financial results / statements,2024,FTG H1 2024 Results Final Press Release,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2024/09/03/FTG-H1-2024-Results-Final-Press-Release_uid_66d6d9878c922.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2015,FTG Annual Report 2015,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/05/FTG-Annual-Report-2015_uid_656edcd8b369a.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2014,FTG Annual Report 2014,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/05/FTG-Annual-Report-2014_uid_656edcd867bbf.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2017,FTG Annual Report 2017,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/05/FTG-Annual-Report-2017_uid_656edcd9223f1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2016,FTG Annual Report 2016,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/05/FTG-Annual-Report-2016_uid_656edcdaa2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2021,FTG Annual Report 2021,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/05/FTG-Annual-Report-2021-final_uid_656edcda0813b.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Flame Tree Group Holdings PLC,FTGH,Periodic results material,Financial results / statements,2015,FTG FInancial Report Dec 31 2015,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/03/FTG-FInancial-Report-Dec-31-2015_uid_656c58c0efcdb.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2020,FTG Annual Report 2020,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/06/FTG-Annual-Report-2020_uid_6570310f324f9.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2018,FTG Annual Report 2018,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/03/FTG-Annual-Report-2018_uid_656c58c12dbb0.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Flame Tree Group Holdings PLC,FTGH,Annual / full-year,Annual report,2019,FTG Annual Report 2019,https://flametreegroup.com/financial-reports,https://admin.flametreegroup.com/storage/uploads/2023/12/03/FTG-Annual-Report-2019_uid_656c58c11594b.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
