record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,I&M Group PLC,IMH,Quarterly,Financial results / statements,2026,I&M Group Q1 2026 Financial Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2026/06/IM-GROUP-PLC-Financials-Q1-2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2025,I&M Group FY 2025 Financial Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2026/03/im-bank-group-financials.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,I&M Group PLC,IMH,Quarterly,Financial results / statements,2025,I&M Group Q3 2025 Financial Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2025/11/im-Group-Q3-2025-Financial-Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2025,I&M Group HY 2025 Financial Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2025/08/Updated-Group-Financials4.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,I&M Group PLC,IMH,Quarterly,Financial results / statements,2025,I&M Group Q1 2025 Financial results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2025/05/IM-GROUP-Financial-results_31-March-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,I&M Group PLC,IMH,Annual / full-year,Annual report,2024,I&M Group Financial Results Full Year 2024,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2025/03/imbank-finacials-fy-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,I&M Group PLC,IMH,Quarterly,Financial results / statements,2024,I&M Group Financials Q3 2024,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/11/2024-Q3-Group60.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2024,I&M Capital HY 2024 Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/08/im-capital-hy-2024-Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2024,I&M Group Financials HY 2024 Results,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/08/im-group-hy-2024-results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,I&M Group PLC,IMH,Quarterly,Financial results / statements,2024,I&M Group Financials Q1 2024,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/05/im-group-financials-Q1-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,I&M Group PLC,IMH,Annual / full-year,Annual report,2023,I&M Capital Financial Results Full Year 2023,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/03/FY2023-Capital-Financials-Final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,I&M Group PLC,IMH,Annual / full-year,Annual report,2023,I&M Group PLC Financial Results Full Year 2023,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2024/03/FY2023-Group-DN-FP.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,I&M Group PLC,IMH,Quarterly,Financial results / statements,2023,I&M Group PLC Financial Results Q3 2023,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/11/IM-Group-Plc-Financial-Results-Q3-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,I&M Group PLC,IMH,Semi-annual / half-year,Financial results / statements,2023,I&M Capital Financial Results Half Year 2023,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/08/IM-Capital-HY2023-Financials-Daily-Nation_.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,I&M Group PLC,IMH,Semi-annual / half-year,Financial results / statements,2023,I&M Group PLC Financial Results Half Year 2023,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/08/IM-Group-HY2023-Financials-Daily-Nation_.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,I&M Group PLC,IMH,Quarterly,Financial results / statements,2023,I&M Group PLC Financials Results 2023 Q1,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/05/Q1-Group-Financials-Daily-Nation-.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2022,I&M Group PLC Financial Results 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/03/IM-Group-Financials-–-Full-page-Standard-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2022,I&M Capital Financial Results 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2023/03/DN-IM-Capital-Financials-31-DEC-2022-FA.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,I&M Group PLC,IMH,Quarterly,Financial results / statements,2022,I&M Group PLC Financial Results Q3 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/11/IM-GROUP-Financials-Daily-Nation-–-FA-Q3.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,I&M Group PLC,IMH,Semi-annual / half-year,Financial results / statements,2022,I&M Group PLC Financial Results Half Year 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/08/IM-Group-DN-FA.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00021,I&M Group PLC,IMH,Semi-annual / half-year,Financial results / statements,2022,I&M Capital Financial Results Half Year 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/08/IM-Capital-Financials-FA-STD.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00022,I&M Group PLC,IMH,Quarterly,Financial results / statements,2022,I&M Group PLC Financial Results Q1 2022,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/05/25.05.22-GROUP-FINANCIALS-DN-FA.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00023,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2021,I&M Capital Financial Results 2021,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/08/IM-Capital-2021-Financials-Daily-Nation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00024,I&M Group PLC,IMH,Periodic results material,Financial results / statements,2021,I&M Group PLC Financial Results 2021,https://www.imbankgroup.com/financial-results-annual-reports-and-investor-presentation/,https://www.imbankgroup.com/wp-content/uploads/2022/03/IM-Group-Financials-2021-compressed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
