record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2024,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2024,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/31ST 2024-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2023,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2023,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/dkfurhsfdlb.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2022,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2022,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/jfitsdcmfld.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2021,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2021,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/agshtyr.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2020,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2020,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/wurtsdf.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2019,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2019,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/xertsd.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2018,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2018,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/llyyts.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2017,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2017,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/dshklgh.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2016,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2016,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/ssttdda.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2015,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2015,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/qqeydadd.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2014,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2014,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/laereok.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Nairobi Business Ventures PLC,NBV,Annual / full-year,Annual report,2013,FINANCIAL STATEMENTS FOR THE PERIOD ENDED 31ST MARCH 2013,https://www.nbvplc.com/annual.html,https://www.nbvplc.com/kdceiurd.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2025,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2025,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/UNAUDITED 2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2024,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2024,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/0000366265.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2023,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2023,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/jtddly8874.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2022,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2022,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/ffrid3ddj.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2021,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2021,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/nvbd47eh.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Nairobi Business Ventures PLC,NBV,Semi-annual / half-year,Financial results / statements,2020,UN-AUDITED RESULTS FOR THE SIX MONTHS PERIOD 30 SEPT 2020,https://www.nbvplc.com/financial.html,https://www.nbvplc.com/rdg943nfdf.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
