record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2024,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/SG_ANNUAL_REPORT_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2025,unaudited group results for the 6 month period ended 30 june 2025,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/announcements/unaudited_group_results_for_the_6_month_period_ended_30_june_2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2024,Financial Statement Year 2024,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/Financial_Statement_Year_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Standard Group PLC,SGL,Annual / full-year,Annual report,2024,AUDITED GROUP RESULTS FOR THE YEAR ENDED 31 DECEMBER 2024,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/AUDITED_GROUP_RESULTS_FOR_THE_YEAR_ENDED_31_DECEMBER_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2023,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/assets/reports/annualreport_2023_v1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2023,annualreport 2023 v1,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2023_v1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2022,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/assets/reports/sg_annual_report_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Standard Group PLC,SGL,Annual / full-year,Annual report,2022,sg annual report 2022,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/sg_annual_report_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2023,PUBLICATION OF THE AUDITED RESULTS FOR THE PERIOD ENDED 31ST DECEMBER 2023,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/PUBLICATION_OF_THE_AUDITED_RESULTS_FOR_THE_PERIOD_ENDED_31ST_DECEMBER_2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Standard Group PLC,SGL,Periodic results material,Financial results / statements,,June 23 Publication,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/June_23_Publication.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2021,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/assets/reports/TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Standard Group PLC,SGL,Annual / full-year,Annual report,2021,TSG PLC ANNUAL REPORT FOR THE FY 2021,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/TSG_PLC_ANNUAL_REPORT_FOR_THE_FY_2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Standard Group PLC,SGL,Annual / full-year,Annual report,2022,The Standard Group PLC Audited Group Results for the year ended 31st Dec 2022,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/The_Standard_Group_PLC_Audited_Group_Results_for_the_year_ended_31st_Dec_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Standard Group PLC,SGL,Semi-annual / half-year,Financial results / statements,2022,THE STANDARD GROUP PLC HALF YEAR UNAUDITED RESULTS FOR THE PERIOD ENDED 30062022,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/THE_STANDARD_GROUP_PLC_HALF_YEAR_UNAUDITED_RESULTS_FOR_THE_PERIOD_ENDED_30062022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Standard Group PLC,SGL,Annual / full-year,Annual report,2021,THE STANDARD GROUP PLC AUDITED FINANCIAL STATEMENTS FOR THE STANDARD GROUP PLC PERIOD ENDED 31ST  DECEMBER 2021,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/THE_STANDARD_GROUP_PLC_AUDITED_FINANCIAL_STATEMENTS_FOR_THE_STANDARD_GROUP_PLC_PERIOD_ENDED_31ST _DECEMBER_2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Standard Group PLC,SGL,Annual / full-year,Annual report,2021,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/sdteam/documents/ANNUAL REPORT 2021 FINAL 18 Financial Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Standard Group PLC,SGL,Semi-annual / half-year,Financial results / statements,2021,the standard group plc half year result 6 months 2021,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/the-standard-group-plc-half-year-result-6-months-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Standard Group PLC,SGL,Annual / full-year,Annual report,2020,THE STANDARD GROUP PLC AUDITED RESULTS FOR THE YEAR ENDED 31.12.2020,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/sdteam/THE STANDARD GROUP PLC AUDITED RESULTS FOR THE YEAR ENDED 31.12.2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,Standard Group PLC,SGL,Periodic results material,Financial results / statements,2019,NORP source page,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/annualreport_2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,Standard Group PLC,SGL,Periodic results material,Financial results / statements,,Standard Group Financials,https://www.standardmedia.co.ke/corporate/investors,https://www.standardmedia.co.ke/corporate/assets/reports/Standard_Group_Financials.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
