record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Kapchorua Tea Company PLC,KAPC,Annual / full-year,Annual report,2026,Signed KAP Annual Report Finacial Statements 2026,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2026/06/Signed-KAP-Annual-Report-Finacial-Statements-2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Kapchorua Tea Company PLC,KAPC,Semi-annual / half-year,Financial results / statements,2025,Kap Half Year Press September 2025,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2025/11/Kap-Half-Year-Press-September-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Kapchorua Tea Company PLC,KAPC,Semi-annual / half-year,Financial results / statements,2024,Kap Half Year Press September 2024,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/11/Kap-Half-Year-Press-September-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Kapchorua Tea Company PLC,KAPC,Periodic results material,Financial results / statements,2024,Kapchorua 2024 Signed FS,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/07/Kapchorua-2024-Signed-FS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Kapchorua Tea Company PLC,KAPC,Semi-annual / half-year,Financial results / statements,2023,Kapchorua Half Year Press September 2023 16.11.2398,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Half-Year-Press-September-2023-16.11.2398.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Kapchorua Tea Company PLC,KAPC,Periodic results material,Financial results / statements,2023,KAPCHORUA TEA KENYA PLC VOTING RESULTS 2023 1,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/KAPCHORUA-TEA-KENYA-PLC-VOTING-RESULTS-2023-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Kapchorua Tea Company PLC,KAPC,Periodic results material,Financial results / statements,2023,Kapchorua signed Financial Statement 2023,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-signed-Financial-Statement-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Kapchorua Tea Company PLC,KAPC,Semi-annual / half-year,Financial results / statements,2022,Kap Half Year Press September 2022,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kap-Half-Year-Press-September-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Kapchorua Tea Company PLC,KAPC,Annual / full-year,Annual report,2022,Kapchorua Annual Report 2022,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Annual-Report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Kapchorua Tea Company PLC,KAPC,Semi-annual / half-year,Financial results / statements,2021,Kap Half Year Results September 202124,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kap-Half-Year-Results-September-202124.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Kapchorua Tea Company PLC,KAPC,Annual / full-year,Annual report,2021,Kapchorua Audited Accounts for year ended 31st March 2021,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Audited-Accounts-for-year-ended-31st-March-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Kapchorua Tea Company PLC,KAPC,Periodic results material,Financial results / statements,2020,KAPCHORUA TEA KENYA PLC UNAUDITED RESULTS FOR 6 MONTHS ENDING 30TH SEPTEMBER 2020,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/KAPCHORUA-TEA-KENYA-PLC-UNAUDITED-RESULTS-FOR-6-MONTHS-ENDING-30TH-SEPTEMBER-2020-.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Kapchorua Tea Company PLC,KAPC,Annual / full-year,Annual report,2020,Kapchorua Financial Statements for the year ended 31st March 2020,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Financial-Statements-for-the-year-ended-31st-March-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Kapchorua Tea Company PLC,KAPC,Annual / full-year,Annual report,2019,Kapchorua Tea Kenya Plc accounts for the year ended 31st March 2019,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Kapchorua-Tea-Kenya-Plc-accounts-for-the-year-ended-31st-March-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
