record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Car & General (Kenya) PLC,CGEN,Semi-annual / half-year,Financial results / statements,2026,UNAUDITED HALF YEAR ACCOUNTS 2026,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2026/08/CG-Unaudited-Accounts-2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2025,AUDITED RESULTS 2025,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2026/05/Audited-Financial-Statements-2025-Edited-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Car & General (Kenya) PLC,CGEN,Periodic results material,Financial results / statements,2024,AUDITED RESULTS 2024,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2025/04/Audited-2024-Financials.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Car & General (Kenya) PLC,CGEN,Semi-annual / half-year,Financial results / statements,2024,UNAUDITED HALF YEAR RESULTS 2024,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2024/08/Interim-Financial-Results-2024-Summary.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Car & General (Kenya) PLC,CGEN,Periodic results material,Financial results / statements,2023,INTERGRATED REPORT 2023,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2024/07/Intergrated-Report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2022,INTEGRATED REPORT 2022,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/06/INTERGRATED-REPORT-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2020,Financial Report 2020,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2021/04/CG-Annual-Report-2020_Web-2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2024,2024 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2025/04/Car-General-2024-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2023,2023 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2024/04/4.-FS-2023-CG-Kenya-Plc-signed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2022,2022 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/06/Car-General-2022-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2021,2021 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2022/01/Car-General-Kenya-PLC-2021-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2019,2019 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2018,2018 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2017,2017 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2016,2016 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2015,2015 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2015.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2014,2014 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Car & General (Kenya) PLC,CGEN,Annual / full-year,Annual report,2013,2013 Annual Report,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2020/04/CG-2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,Car & General (Kenya) PLC,CGEN,Semi-annual / half-year,Financial results / statements,2026,2026,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2026/08/Car-General-Interim-Report-30-June-2026_signed-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,Car & General (Kenya) PLC,CGEN,Semi-annual / half-year,Financial results / statements,2024,2024,https://cargen.com/financial-reports/,https://cargen.com/wp-content/uploads/2024/08/Car-General-Interim-Report-30-June-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
