record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2025,Centum Integrated Report and Financial Statement FY 2025,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2025/09/Centum-Integrated-Report-fy25.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Centum Integrated Report and Financial Statement FY 2024,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/09/FY-2024-Centum-Integrated-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2023,Centum Integrated Report and Financial Statement FY 2023,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_Investments_Plc_Integrated_Report_FY_2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2022,Centum Investment Company Plc FY 2022 Intergrated Report and Financial Statements,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_Integrated_Report_and_Financial_Statement_FY2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2021,Centum Integrated Report and Financial Statement FY2021,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_Annual_report_and_financial_statements_FY2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Annual report FY20,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Integrated_Report_FY2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Annual report FY19,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_Annual_Report_FY19.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Abridged Annual Report FY18,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/CICL-Abridged_Annual_Report_FY18.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Annual Report FY18,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/CICL_Full_-Annual_Report_FY18.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2016,Annual Report 2016,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/CentumAnnual_Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2014,Centum Annual Report - 2014/2015,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2014_2015.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2016,Centum HY2016 - Interim Financial Statements,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_HY2016_Interim_Financial_Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2013,Centum Annual Report - 2013/2014,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2013_2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2012,Centum Annual Report - 2012/2013,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2012_2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2011,Centum Annual Report - 2011/2012,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2011_2012.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2010,Centum Annual Report - 2010/2011,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2010_2011.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2009,Centum Annual Report - 2009/2010,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2009_2010.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2008,Centum Annual Report - 2008/2009,https://centum.co.ke/annual-reports/,https://centum.co.ke/wp-content/uploads/2024/02/Annual_Report_2008_2009.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
