record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2026,FINANCIAL RESULTS FOR THE YEAR ENDED 31ST MARCH 2026 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2026/07/Centum-Results-2026-FA-KE.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2025,Centum FPR~HYear Results 2025 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2025/11/Centum-FPGHYear-Results-2025-vfinal.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2025,Centum Results Full year OUTLINED 2025 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2025/07/Centum-Results-Full-year-OUTLINED-2025-FA-2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2024,Centum Half Year Results FY25 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2024/11/Centum-Results-Halfyear-FY25.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2024,Centum Financial Results For The year ended 31 March 2024 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2024/07/Centum-Results-Full-year-ended-31-March-2024-FA-30072024-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2024,Centum Half Year Results FY24 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2024/02/Centum_Results_Halfyear_FY24.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2019,HY 2019 Press Commentary - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2024/02/HY19_Press_Commentary.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2019,FY 2019 Financial Statements - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/CICL_Financial_Statements_FY19.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2019,FY 2019 Investor Briefing presentation - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/FY19_Investor_Briefing_Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2019,FY 2019 CEO Commentary - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/FY19_CEO_Commentary.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2019,HY 2019 Investor Briefing presentation - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/HY19_Investor_Briefing_Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2019,HY 2019 Interim Financial Statements - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/CICP_Group_Interim_Financial_Statement_30_September_2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2020,FY 2020 Investor Briefing Presentation - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum-FY2020-Investor-Briefing-Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2020,FY 2020 Audited Results - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum-Audited-Results-FY20.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2020,HY 2020 Investor Briefing presentation - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/HY-2020-Investor-Briefing-Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2020,HY 2020 Interim Financial Statements - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/HY-2020-Interim-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2023,Centum Full Year Results FY21 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Year_Results_2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2021,FY 2021 Investor Briefing Presentation - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_FY21_Investor_Briefing.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2023,Centum Half Year Results FY21 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Half_Year_Results_2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2021,HY 2021 Investor Briefing Presentation - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum-HY2021-Investor-Briefing.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00021,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2023,FY 2023 Investor Briefing Presentation - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/FY_2023_Investor_Briefing_Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00022,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2023,Centum Full Year Results FY23 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Full_Year_Results_FY23.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00023,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2023,Centum HY 2023 Investor Presentation - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_HY2023_Investor_Presentation_Final_29112022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00024,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2023,Centum Half Year Results FY23 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Results_Halfyear_2022_FA_press_v2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00025,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2022,Full Year FY 2022 Investor Briefing Presentation - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Full_Year_FY22_Investor_Briefing_Presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00026,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2023,Centum Full Year Results FY22 - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Results_Full_Year_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00027,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2023,Centum Half Year Results FY22 - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Half_Year_Results_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00028,Centum Investment Company PLC,CTUM,Periodic results material,Financial results / statements,2022,HY 2022 Investor Briefing Presentation - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_HY2022_Investor_Briefing_presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00029,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2018,HY 2018 Investor Briefing presentation - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Investment_Investor-Briefing_HY2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00030,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2018,HY 2018 Interim Financial Statements - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Interim_Financial_Statements_30_September_2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00031,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2018,FY 2018 Investor Briefing presentation - Full Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/Centum_Investment_Company_Plc_FY18_Investor_Briefing.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00032,Centum Investment Company PLC,CTUM,Annual / full-year,Annual report,2018,FY 2018 Consolidated Financial Statements - Investor Presentation,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/CICL_Consolidated_Financials_FY18.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00033,Centum Investment Company PLC,CTUM,Semi-annual / half-year,Financial results / statements,2017,HY 2017 Investor Briefing presentation - Half Year,https://centum.co.ke/financial-results/,https://centum.co.ke/wp-content/uploads/2023/09/FY2017_Half_Year_Investor_Briefing-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
