record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Family Bank Limited,FMLY,Annual / full-year,Annual report,2024,Integrated-Report-Financial-Statements-2024,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2025/06/Integrated-Report-and-Financial-Statements-2024_compressed_v2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Family Bank Limited,FMLY,Annual / full-year,Annual report,2023,Integrated Report & Financial Statements 2023,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2024/07/Integrated-Report-Financial-Statements-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Family Bank Limited,FMLY,Annual / full-year,Annual report,2022,Integrated Report & Financial Statements 2022,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2023/06/Integrated-Report-Financial-Statements-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Family Bank Limited,FMLY,Annual / full-year,Annual report,2021,Integrated Report & Financial Statements 2021,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2022/05/Integrated-Report-Financial-Statements-2021-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Family Bank Limited,FMLY,Annual / full-year,Annual report,2020,Integrated Report & Financial Statements 2020,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2021/06/Integrated-Report-Financial-Statements-2020-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Family Bank Limited,FMLY,Annual / full-year,Annual report,2019,Integrated Report & Financial Statements 2019,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2020/08/Integrated-Report-Financial-Statements-2019..pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Family Bank Limited,FMLY,Annual / full-year,Annual report,2017,Integrated Report & Financial Statements 2017,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/10/Integrated-Report-Financial-Statements-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Family Bank Limited,FMLY,Annual / full-year,Annual report,2025,Integrated Report & Financial Statements 2025,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2026/05/Family_Bank_AR_2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Family Bank Limited,FMLY,Annual / full-year,Annual report,2018,Integrated Report & Financial Statements 2018,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Integrated-Report-Financial-Statements-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Family Bank Limited,FMLY,Annual / full-year,Annual report,2021,Annual Reports & Financial Statements 2021,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2022/04/2021-Annual-Report-and-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Family Bank Limited,FMLY,Annual / full-year,Annual report,2016,Annual Report & Financial Statements 2016,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/10/Annual-Report-Financial-Statements-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Family Bank Limited,FMLY,Annual / full-year,Annual report,2015,Annual Report & Financial Statements 2015,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/10/Annual-Report-Financial-Statements-2015.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Family Bank Limited,FMLY,Annual / full-year,Annual report,2014,Annual Report & Financial Statements 2014,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/10/Annual-Report-Financial-Statements-2014.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Family Bank Limited,FMLY,Annual / full-year,Annual report,2013,Annual Report & Financial Statements 2013,https://familybank.co.ke/?page_id=1773,https://familybank.co.ke/family-bank/wp-content/uploads/2019/10/Annual-Report-Financial-Statements-2013.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
