record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Family Bank Limited,FMLY,Periodic results material,Financial results / statements,2026,Un-Audited Financial Statement and Other Disclosures for the period ended 30th June 2026,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2026/08/Unaudited_Financial_Results_for_the_period_ended_30_June_2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Family Bank Limited,FMLY,Annual / full-year,Annual report,2025,Integrated Report and Financial Statement for the year ended 2025,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2026/05/Family_Bank_AR_2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Family Bank Limited,FMLY,Annual / full-year,Annual report,2026,Un-audited Financial Statements and other disclosures for the period ended 31st March 2026,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2026/05/Unaudited_Financial_Results_for_the_period_31_March_2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Family Bank Limited,FMLY,Periodic results material,Financial results / statements,2025,Audited Financial Statement and Other Disclosures for the Period Ended 31st December 2025,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2026/03/FAMILY_BANK_LIMITED_Audited_Financial_Statement_and_Other_Disclosures_the_Period_31st_December_2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Family Bank Limited,FMLY,Annual / full-year,Annual report,2025,Un-audited Financial Statements and other disclosures for the period ended 30th September 2025,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2025/11/UN-AUDITED-_FINANCIAL_STATEMENTS_AND_OTHER_DISCLOSURES_FOR_THE_PERIOD_ENDED_30_SEPTEMBER_2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Family Bank Limited,FMLY,Annual / full-year,Annual report,2025,Un-audited Financial Statements and other disclosures for the period ended 30th June 2025,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2025/08/UN-AUDITED-FINANCIAL-STATEMENTS-AND-OTHER-DISCLOSURES-FOR-THE-PERIOD-ENDED-30-JUNE-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Family Bank Limited,FMLY,Quarterly,Financial results / statements,2025,Un-audited Financial Statements and other disclosures for the period ended 31st March 2025,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2025/05/FAMILY-BANK-LIMITED-Q1-FINANCIALS-FINAL.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Family Bank Limited,FMLY,Annual / full-year,Annual report,2024,Financial Statements for the Period Ended 31st December 2024,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2025/03/audited_financial_results_31_december_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Family Bank Limited,FMLY,Annual / full-year,Annual report,2024,Financial Statements for the Period Ended 30th September 2024,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2025/02/UN-AUDITED-FINANCIAL-STATEMENTS-AND-OTHER-DISCLOSURES-FOR-THE-PERIOD-ENDED-30TH-SEPTEMBER-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Family Bank Limited,FMLY,Annual / full-year,Annual report,2024,Financial Statements for the Period Ended 30th June 2024,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2024/08/Financial-Statements-for-the-Period-Ended-30th-June-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Family Bank Limited,FMLY,Annual / full-year,Annual report,2024,Financial Statements for The Period Ended 31st March 2024,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2024/05/UN-AUDITED-FINANCIAL-STATEMENTS-FOR-THE-PERIOD-ENDED-31ST-MARCH-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Family Bank Limited,FMLY,Periodic results material,Financial results / statements,2023,Financial Statement for the Period Ended 31st December 2023,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2024/04/AUDITED_FINANCIAL_STATEMENTS_AND_OTHER-_DISCLOSURES_-FOR_THE_PERIOD_ENDED_31ST_DECEMBER_2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Family Bank Limited,FMLY,Periodic results material,Financial results / statements,2023,Financial Statement for the Period Ended 30th September 2023,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2023/11/Financials_Sep_2023_Final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Family Bank Limited,FMLY,Quarterly,Financial results / statements,2023,Financial Statements for the Period Ended 30th June 2023,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2023/08/Q2-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Family Bank Limited,FMLY,Annual / full-year,Annual report,2023,Financial Statements for the Period Ended 31st March 2023,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2023/05/Financial_Statements_for_the_Period_Ended_31st_March_2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00016,Family Bank Limited,FMLY,Annual / full-year,Annual report,2022,Financial Statements for the Period Ended 31st December 2022,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2023/03/Financial_Statements_for_the_Period_Ended_31st_December_2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00017,Family Bank Limited,FMLY,Annual / full-year,Annual report,2022,Financial Statements for the Period ended 30th September 2022,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2022/11/Financial-Statements-for-the-Period-Ended-30th-Septmeber-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00018,Family Bank Limited,FMLY,Annual / full-year,Annual report,2022,Financial Statements for the Period Ended 30th June 2022,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2022/08/Financial-Statements-for-the-Period-Ended-30th-June-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00019,Family Bank Limited,FMLY,Periodic results material,Financial results / statements,2022,Financial Statement for the Period Ended 31st March 2022,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2022/05/Financial-Statement-for-the-Period-Ended-31st-March-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00020,Family Bank Limited,FMLY,Annual / full-year,Annual report,2021,Financial Statements for the Period Ended 31st December 2021,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2022/03/Financial-Statements-for-the-Period-Ended-31st-December-2021-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00021,Family Bank Limited,FMLY,Annual / full-year,Annual report,2021,Financial Statements for the Period ended 30th September 2021,https://familybank.co.ke/?page_id=654,https://familybank.co.ke/family-bank/wp-content/uploads/2021/11/Financial-Statement-as-at-30th-September-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
