record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,HF Group PLC,HFCK,Quarterly,Financial results / statements,2026,HFCB Group 2026 Q1 Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2026/HFCB%20Group%202026%20Q1%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00002,HF Group PLC,HFCK,Periodic results material,Financial results / statements,2025,HF Group FY2025 Audited Financial Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20FY2025%20Audited%20Financial%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00003,HF Group PLC,HFCK,Quarterly,Financial results / statements,2025,HF GROUP Q3 2025 FINANCIALS,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20GROUP%20Q3%202025%20FINANCIALS.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00004,HF Group PLC,HFCK,Periodic results material,Financial results / statements,2025,HF Group HY 2025 Financial Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20HY%202025%20Financial%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00005,HF Group PLC,HFCK,Quarterly,Financial results / statements,2025,HF Group Q1 2025 Financial Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2025/HF%20Group%20Q1%202025%20Financial%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00006,HF Group PLC,HFCK,Periodic results material,Financial results / statements,2024,HF Group Plc 2024 Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20Plc%202024%20Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00007,HF Group PLC,HFCK,Annual / full-year,Annual report,2024,HF GROUP FY 2024 Audited Financial Statements,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20GROUP%20FY%202024%20AUDITED%20FINANCIAL%20STATEMENTS.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00008,HF Group PLC,HFCK,Quarterly,Financial results / statements,2024,HF Group Q3 2024 Performance,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF-Group-Q3-2024-Performance.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00009,HF Group PLC,HFCK,Semi-annual / half-year,Financial results / statements,2024,HF Group H1 2024 Financial Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20H1%202024%20Financial%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00010,HF Group PLC,HFCK,Quarterly,Financial results / statements,2024,HF Group Q1 2024 Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2024/HF%20Group%20Q1%202024%20Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00011,HF Group PLC,HFCK,Periodic results material,Financial results / statements,2023,HF Group FY 2023 Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20Group%20FY%202023%20Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00012,HF Group PLC,HFCK,Quarterly,Financial results / statements,2023,HF Group Q3 2023 Financial Results,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20Group%20Q3%20Financial%20Results.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00013,HF Group PLC,HFCK,Semi-annual / half-year,Financial results / statements,2023,HF Group H1 2023 Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF-Group-H1-Financials%20Q1.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00014,HF Group PLC,HFCK,Quarterly,Financial results / statements,2023,HF GROUP Q1 2023 Publication Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2023/HF%20GROUP%20Q1%20PUBLICATION%20FINANCIALS.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00015,HF Group PLC,HFCK,Periodic results material,Financial results / statements,2022,HF Group FY2022 Financials,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2022/HF%20Group%20FY2022%20Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
NSE-00016,HF Group PLC,HFCK,Annual / full-year,Annual report,2022,HF Group Abridged Financial Statements 31 Dec 2022,https://hfcb.co.ke/investor-relations,https://hfcb.co.ke/api/investor-relations/file?path=financials/2022/HF%20Group%20Abridged%20Financial%20Statements%2031%20Dec%202022.pdf,linked from source page,application/pdf (inferred from URL),Historical/current successor issuer website
