record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Home Afrika PLC,HAFR,Annual / full-year,Annual report,2025,Integrated Annual Report & Financial Statements 2025,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2025-1782322991.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2025,Home Afrika Financial Publication 2025,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2025-1777529037.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2025,Home Afrika Half The Financial Publication 2025,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-financial-publication-2025-1765265920.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Home Afrika PLC,HAFR,Annual / full-year,Annual report,2024,Integrated Annual Report & Financial Statements 2024,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2024-1769771236.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2024,Home Afrika Half The Financial Publication 2024,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-financial-publication-2024-1765263538.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2024,Home Afrika Financial Publication 2024,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2024-1765263484.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Home Afrika PLC,HAFR,Annual / full-year,Annual report,2023,Integrated Annual Report & Financial Statements 2023,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/integrated-annual-report-financial-statements-2023-1765262850.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2023,Home Afrika Half The Year Financial Publication 2023,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-half-the-year-financial-publication-2023-1765262626.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2023,Home Afrika Financial Publication 2023,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2023-1765262542.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Home Afrika PLC,HAFR,Periodic results material,Financial results / statements,2022,Home Afrika Financial Publication 2022,https://www.homeafrika.com/investor-info/annual-reports,https://www.homeafrika.com/static/uploads/media/home-afrika-financial-publication-2022-1765262322.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
