record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LIMITED%202026%20HALF%20YEAR%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/FINAL%20HY%202025%20FINANCIALS%20LAYOUT%20AND%20ARTWORK.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LIMITED%202024%20HALF%20YEAR%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LIMITED%202023%20HALF%20YEAR%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Kenya Reinsurance Corporation PLC,KNRE,Annual / full-year,Annual report,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/ANNUAL%20REPORT%202023_2%20%281%29.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LIMITED%202022%20HALF%20YEAR%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LTD%20FULL%20YEAR%202022%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/ABRIDGED%20KENYA%20REINSURANCE%20CORPORATION%20LIMITED%20FULL%20YEAR%202022%20%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20REINSURANCE%20CORPORATION%20LIMITED%202021%20HALF%20YEAR%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2021,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/2021%20FULL%20YEAR%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/Financials%202021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/FINAL%20KENYA%20RE%20FINANCIALS%202020_0.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/FINAL%20KENYA%20RE%20FINANCIALS%202020_1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/investors/KENYA%20REINSURANCE%20CORPORATION%20LTD%20FULL%20YEAR%202019%20FINANCIAL%20RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Kenya Reinsurance Corporation PLC,KNRE,Periodic results material,Financial results / statements,2020,Download,https://www.kenyare.co.ke/investor-relations/financial-reports,https://www.kenyare.co.ke/sites/default/files/resource/documents/KENYA%20RE%202019%20FINANCIAL%20STATEMENTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
