record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Kenya Airways PLC,KQ,Semi-annual / half-year,Financial results / statements,2026,half-year-2026-financial-results-presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2026/half-year-2026-financial-results-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2025,fy25-investor-briefing-presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2025/fy25-investor-briefing-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2025,signed-financials-2025.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2025/signed-financials-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2025,hy25-investor-briefing-presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2025/hy25-investor-briefing-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Kenya Airways PLC,KQ,Annual / full-year,Annual report,2024,full-year-financials.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/full-year/full-year-financials.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Kenya Airways PLC,KQ,Annual / full-year,Annual report,2024,full-year-2024-investor-briefing-presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/full-year/full-year-2024-investor-briefing-presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Kenya Airways PLC,KQ,Annual / full-year,Annual report,2024,kenya-airways-reports-historic-profit-of-kshs-5.4-billion-for-the-2024-financial-year-.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/full-year/kenya-airways-reports-historic-profit-of-kshs-5.4-billion-for-the-2024-financial-year-.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2024,signed-financials-2024.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/signed-financials-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Kenya Airways PLC,KQ,Semi-annual / half-year,Financial results / statements,2024,kenya-airways-posts-first-half-year-profit-of-kshs-513-million.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/kenya-airways-posts-first-half-year-profit-of-kshs-513-million.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Kenya Airways PLC,KQ,Semi-annual / half-year,Financial results / statements,2024,half-year-2024-investor-briefing---presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/half-year-2024-investor-briefing---presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2024,chairmans-commentary.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/2024/chairmans-commentary.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Kenya Airways PLC,KQ,Periodic results material,Financial results / statements,2023,fy-financials-2023.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/fy-financials-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Kenya Airways PLC,KQ,Annual / full-year,Annual report,2023,full-year-2023-investor-briefing---presentation.pdf,https://corporate.kenya-airways.com/en/investors-shareholders/financial-results/,https://corporate.kenya-airways.com/globalassets/corporate/investment--shareholders/financial-results/full-year-2023-investor-briefing---presentation.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
