record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2025,ANNUAL REPORT 2025,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2025/11/Annual-Report-2025_compressed-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2024,ANNUAL REPORT 2024,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/11/Annual-Report-2024-Final_compressed-2.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2023,ANNUAL REPORT 2023,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2022,ANNUAL REPORT 2022,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2022-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2021,ANNUAL REPORT 2021,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2021-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2020,ANNUAL REPORT 2020,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2019,ANNUAL REPORT 2019,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2018,ANNUAL REPORT 2018,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2017,ANNUAL REPORT 2017,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/01/Annual-Report-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Longhorn Publishers PLC,LKL,Annual / full-year,Annual report,2016,ANNUAL REPORT 2016,https://www.longhornpublishers.com/investor-relations/reports/,https://www.longhornpublishers.com/wp-content/uploads/2024/02/Longhorn-Publishers-PLC-Annual-Report-2016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
