record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2026,Q1_Financials_2026_compressed.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/Q1_Financials_2026_compressed.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00002,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2026,H1_Financials_2026.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/H1_Financials_2026.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00003,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2026,NBK_Financials_2026_C5.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/NBK_Financials_2026_C5.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00004,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2025,H1_2025_FINANCIALS_C2_FP_compressed.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/H1_2025_FINANCIALS_C2_FP_compressed.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00005,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2025,NBK_Q1_2025_Financials_compressed.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/NBK_Q1_2025_Financials_compressed.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00006,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2025,Q3_2025_FINANCIALS__FP_6.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/Q3_2025_FINANCIALS__FP_6.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00007,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2024,2024_Full_Year_Financials_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2024_Full_Year_Financials_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00008,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2024,2024_Q3_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2024_Q3_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00009,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2024,2024_H1_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2024_H1_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00010,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2024,2024_Q1_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2024_Q1_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00011,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2023,2023_Full_Year_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2023_Full_Year_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00012,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2023,2023_Q3_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2023_Q3_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00013,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2023,2023_Q1_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2023_Q1_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00014,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2023,2023_H1_Financials.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/2023_H1_Financials.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
NSE-00015,National Bank of Kenya PLC,NBK,Periodic results material,Financial results / statements,2022,NBK_2022_Full_Year.pdf,https://www.nationalbank.co.ke/investor-relations,https://www.nationalbank.co.ke/images/investorrelations/NBK_2022_Full_Year.pdf,linked from source page,application/pdf (inferred from URL),Historical issuer website
