record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2026,NMG-Annual-report-Final-compressed-1.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2026/06/NMG-Annual-report-Final-compressed-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2025,NMG-Annual-Report-9th-June.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2025/06/NMG-Annual-Report-9th-June.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2023,NMG-2023-Annual-Report-and-Financial-Statements.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2024/06/NMG-2023-Annual-Report-and-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2022,NMG-2022-Annual-Report-and-Financial-Statements-1.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2023/06/NMG-2022-Annual-Report-and-Financial-Statements-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2021,NMG-2021-Annual-Report-and-Financial-Statements.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2022/06/NMG-2021-Annual-Report-and-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2020,NMG-2020-Final-Annual-Report-and-Financial-Statements.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2021/05/NMG-2020-Final-Annual-Report-and-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2017,NATION-ANNUAL-REPORT-2017.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2018/06/NATION-ANNUAL-REPORT-2017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2016,NMG-2016-Annual-Report.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2017/06/NMG-2016-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Nation Media Group PLC,NMG,Periodic results material,Financial results / statements,2015,NMG2015AnnualReport.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2016/11/NMG2015AnnualReport.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Nation Media Group PLC,NMG,Periodic results material,Financial results / statements,2014,2014FinancialReport.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2016/09/2014FinancialReport.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Nation Media Group PLC,NMG,Annual / full-year,Annual report,2013,NMG-2013-Annual-Report.pdf,https://www.nationmedia.com/investor-relations/financial-reports/,https://www.nationmedia.com/wp-content/uploads/2017/05/NMG-2013-Annual-Report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
