record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2025,2025 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2026/05/Sameer-Africa-PLC-Annual-Report-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2024,2024 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2025/06/SAPLC-Annual-Report-2024_web_.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2022,2022 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2023/06/Annual-Report-2022-WEB_compressed.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2021,2021 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2022/06/2021-Annual-Report-and-Financial-Statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2020,2020 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2021/05/Annual-Report-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2019,2019 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2020/06/SAPLC-Annual-Report-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2018,2018 Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/wp-content/uploads/2019/06/Sameer-Africa-PLC-Annual-Report-2018-1.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2017,2017 Integrated Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/downloads/reports/Sameer%20Africa%20Annual%20Report%202017.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2016,2016 Integrated Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/downloads/reports/Integrated%20Financial%20Report%202016.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2015,2015 Integrated Annual Report and Financial Statements,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/images/downloads/reports/2015%20Annual%20Integrated%20Annual%20Report%20and%20Financial%20Statement%20-%20Final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2014,2014 Sameer Africa Annual Report,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/downloads/reports/2014%20Annual%20Report%20Book%20-%20Final.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Sameer Africa PLC,SMER,Annual / full-year,Annual report,2013,2013 Sameer Africa Annual Report,https://sameerafrica.com/financial-reports/,https://sameerafrica.com/downloads/reports/2013%20ANNUAL%20REPORT%20AND%20FINANCIAL%20STATEMENTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
