record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2025,SanlamAllianz Holdings (Kenya) Integrated Report & Financial Statements 2025,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/2026/Sanlam-Allianz-AR-2025---Online-Version-updated.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2024,Sanlam Annual Report 2024,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam%20Annual%20Report%202024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2023,Sanlam Kenya PLC Annual Report 2023,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam Kenya PLC audited results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Sanlam Allianz Holdings Kenya PLC,SLAM,Periodic results material,Financial results / statements,2023,Sanlam Kenya PLC unaudited results 30 June 2023,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam Kenya PLC unaudited results 30 June 2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Sanlam Allianz Holdings Kenya PLC,SLAM,Periodic results material,Financial results / statements,2022,Sanlam Kenya PLC Unaudited Results - 30 June 2022,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/sanlam%20plc%202022%20results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2022,Sanlam Kenya PLC 2022 Annual Report,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam-AR-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2021,Sanlam Kenya PLC 2021 Annual Report,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/filesSanlam%20Annual%20Report%202021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2020,Sanlam Kenya PLC 2020 Annual Report,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/SANLAM-ANNUAL-REPORT-KENYA-PLC.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2019,Sanlam Kenya PLC 2019 Annual Report,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam%202019%20Annual%20Report%20Website.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Sanlam Allianz Holdings Kenya PLC,SLAM,Semi-annual / half-year,Financial results / statements,2019,2019 Interim Results,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Press%20Release%20FS%200619%20July%202019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Sanlam Allianz Holdings Kenya PLC,SLAM,Periodic results material,Financial results / statements,2019,2019 Financial Results,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Sanlam%20Kenya%20Plc%20Results.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Sanlam Allianz Holdings Kenya PLC,SLAM,Annual / full-year,Annual report,2018,2018 Annual Report,https://ke.sanlamallianz.com/life-insurance/about/our-profile#investor-relations,https://ke.sanlamallianz.com/uploads/files/Annual%20Report_2018.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
