record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Sasini PLC,SASN,Annual / full-year,Annual report,2024,Sasini PLC Annual Report And Financial Statement Year Ended 30.09.2024,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statement-year-ended-30-09-202/?wpdmdl=10023&refresh=6a8ffd079e03c1787821319,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statement-year-ended-30-09-202/?wpdmdl=10023&refresh=6a8ffd079e03c1787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Sasini PLC,SASN,Semi-annual / half-year,Financial results / statements,2023,Sasini PLC-Half Year Results ( Unaudited) 2023,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2023/?wpdmdl=4803&refresh=6a8ffd07b2a701787821319,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2023/?wpdmdl=4803&refresh=6a8ffd07b2a701787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Sasini PLC,SASN,Annual / full-year,Annual report,2022,Sasini Plc Annual Report And Financial Statement Year Ended 30.09.2022,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statement-year-ended-30-09-2022/?wpdmdl=4809&refresh=6a8ffd07babf71787821319,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statement-year-ended-30-09-2022/?wpdmdl=4809&refresh=6a8ffd07babf71787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Sasini PLC,SASN,Semi-annual / half-year,Financial results / statements,2022,Sasini PLC-Half Year Results (Unaudited) 2022,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2022/?wpdmdl=7484&refresh=6a8ffd07c91c71787821319,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2022/?wpdmdl=7484&refresh=6a8ffd07c91c71787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Sasini PLC,SASN,Annual / full-year,Annual report,2020,Annual Report & Financial Statements For The Year Ended 30th September 2020,https://sasini.co.ke/download/annual-report-financial-statements-for-the-year-ended-30th-september-2020/?wpdmdl=7503&refresh=6a8ffd07cf51f1787821319,https://sasini.co.ke/download/annual-report-financial-statements-for-the-year-ended-30th-september-2020/?wpdmdl=7503&refresh=6a8ffd07cf51f1787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Sasini PLC,SASN,Annual / full-year,Annual report,2021,Sasini PLC Annual Report and Financial Statements Year Ended 30/09/2021,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statements-year-ended-30-09-2021/?wpdmdl=7491&refresh=6a8ffd07d58861787821319,https://sasini.co.ke/download/sasini-plc-annual-report-and-financial-statements-year-ended-30-09-2021/?wpdmdl=7491&refresh=6a8ffd07d58861787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Sasini PLC,SASN,Semi-annual / half-year,Financial results / statements,2021,Sasini PLC-Half Year Results (Unaudited) 2021,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2021/?wpdmdl=7493&refresh=6a8ffd07d9a6a1787821319,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2021/?wpdmdl=7493&refresh=6a8ffd07d9a6a1787821319,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Sasini PLC,SASN,Annual / full-year,Annual report,2019,Annual Report & Financial Statement For The Year Ended 30.09.2019,https://sasini.co.ke/download/annual-report-financial-statement-for-the-year-ended-30-09-2019/?wpdmdl=7533&refresh=6a8ffd080c7301787821320,https://sasini.co.ke/download/annual-report-financial-statement-for-the-year-ended-30-09-2019/?wpdmdl=7533&refresh=6a8ffd080c7301787821320,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Sasini PLC,SASN,Semi-annual / half-year,Financial results / statements,2019,Sasini PLC Half Year Results (Unaudited) – 2019,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2019/?wpdmdl=7528&refresh=6a8ffd081075a1787821320,https://sasini.co.ke/download/sasini-plc-half-year-results-unaudited-2019/?wpdmdl=7528&refresh=6a8ffd081075a1787821320,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Sasini PLC,SASN,Annual / full-year,Annual report,2018,Sasini PLC – Annual Report & Financial Statements – 2018,https://sasini.co.ke/download/sasini-plc-annual-report-financial-statements-2018/?wpdmdl=7527&refresh=6a8ffd08128be1787821320,https://sasini.co.ke/download/sasini-plc-annual-report-financial-statements-2018/?wpdmdl=7527&refresh=6a8ffd08128be1787821320,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Sasini PLC,SASN,Semi-annual / half-year,Financial results / statements,2018,Sasini PLC – Half Year Results (Un- Audited)- 2018,https://sasini.co.ke/download/sasini-plc-half-year-results-un-audited-2018/?wpdmdl=7526&refresh=6a8ffd081499e1787821320,https://sasini.co.ke/download/sasini-plc-half-year-results-un-audited-2018/?wpdmdl=7526&refresh=6a8ffd081499e1787821320,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Sasini PLC,SASN,Annual / full-year,Annual report,2017,Sasini PLC – Annual Report & Financial Statements – 2017,https://sasini.co.ke/download/sasini-plc-annual-report-financial-statements-2017/?wpdmdl=7524&refresh=6a8ffd0816a941787821320,https://sasini.co.ke/download/sasini-plc-annual-report-financial-statements-2017/?wpdmdl=7524&refresh=6a8ffd0816a941787821320,linked from source page,application/pdf (inferred from URL),Issuer website
