record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,WPP-Scangroup PLC,SCAN,Semi-annual / half-year,Financial results / statements,2026,WPP-SCANGROUP PLC HALF YEAR RESULTS 2026,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/2026/WPP-SCANGROUP-PLC-HALF-YEAR-RESULTS-2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,WPP-Scangroup PLC,SCAN,Annual / full-year,Annual report,2025,WPP-SCANGROUP PLC ANNUAL REPORT 2025,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-ANNUAL-REPORT-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,WPP-Scangroup PLC,SCAN,Annual / full-year,Annual report,2025,WPP-SCANGROUP PLC SIGNED FINANCIAL STATEMENTS YEAR ENDED 31ST DECEMBER 2025,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-SCANGROUP-PLC-SIGNED-FINANCIAL-STATEMENTS-YEAR-ENDED-31-DECEMBER-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,WPP-Scangroup PLC,SCAN,Periodic results material,Financial results / statements,2025,WPP-SCANGROUP PLC PUBLICATION OF THE 2025 FINANCIAL YEAR RESULTS,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2026/WPP-SCANGROUP-PLC-PUBLICATION-OF-THE-2025-FINANCIAL-YEAR-RESULTS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,WPP-Scangroup PLC,SCAN,Semi-annual / half-year,Financial results / statements,2025,WPP-SCANGROUP PLC HALF YEAR FINANCIAL RESULTS 2025,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-HALF-YEAR-FINANCIAL-RESULTS-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,WPP-Scangroup PLC,SCAN,Annual / full-year,Annual report,2024,INTEGRATED REPORT FOR THE YEAR ENDED 31 DECEMBER 2024,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/downloads/WPP-SCANGROUP-PLC-2025-ANNUAL-REPORT.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,WPP-Scangroup PLC,SCAN,Annual / full-year,Annual report,2024,WPP-SCANGROUP PLC FINANCIAL STATEMENTS 2024,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-FINANCIAL-STATEMENTS-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,WPP-Scangroup PLC,SCAN,Periodic results material,Financial results / statements,2024,WPP-SCANGROUP PLC FINANCIAL RESULTS 2024 PRESS RELEASE,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/FY-2024-Financial-results-Press-release.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,WPP-Scangroup PLC,SCAN,Periodic results material,Financial results / statements,2024,WPP-SCANGROUP PLC PUBLICATION OF THE 2024 FINANCIAL RESULTS,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2025/WPP-SCANGROUP-PLC-2024-FINANCIAL-RESULTS-ANNOUNCEMENT.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,WPP-Scangroup PLC,SCAN,Periodic results material,Financial results / statements,2024,WPP-SCANGROUP PLC PRESS RELEASE STATEMENT ON ODPC DETERMINATION DATED 25TH OCTOBER 2024,https://wpp-scangroup.com/investor-relations/,https://cdn.wpp-scangroup.com/wppscangroupsite/pdf/2024/WPP-Scangroup-Plc-press-release-on-ODPC-determination-dated-25th-October-24.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
