record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2025,2025 TPSEAP Financial Results,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-zg87bfxkcs2fugvz43jy2p0b/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00002,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2024,2024 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-7i52uwid121f7cltay46n5t33/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00003,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2023,2023 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-c5pfbddmslb251zbcm7gpzuj/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00004,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2022,2022 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-dzxs9xb33c6vmruc4dlfdg5g8/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00005,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2021,2021 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-38rtg4jura96lujv3ymz3kwqg/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00006,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2020,2020 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-5y0xml5nh9zjnbtt9e2ellmat/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00007,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2019,2019 TPSEAP Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-9yhkkhd1cqixg26wxakbt92si/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00008,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2019,2019_TPSEAP_Financial_Results.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-9xowizmgde49sh6746lpfac7o/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00009,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2019,TPSEAP_2019_Half-Year_Results.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-76u6f0t0z8vv67k7d5k6qe1g9/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00010,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2018,2018_TPSEAP_Annual_Report.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-40yztg4dcvjsy1iez5lw1yjeo/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00011,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2018,TPSEAP_2018_Final_Results.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-87jgmfifqo3hljkdudnjbgy7y/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00012,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2018,TPSEAP_2018_Half-year_Results.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-6x0d6v63122pe13srnppiscza/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00013,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2017,2017_TPSEA_Annual_Report.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-3yd0zbv00bu21xhwahi7ai9x5/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00014,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2016,TPSEAL 2016 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-6fy6ao0gjhs5p6bam5uygie62/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00015,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2015,TPSEAL 2015 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-3dxehevv4qugms69ug5s7ozua/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00016,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2014,TPSEAL 2014 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-c76lj1634oowlk69zeksvo4ue/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00017,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2013,TPSEAL 2013 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-9yslxle6tm42kvswfmeeouc0d/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00018,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2012,TPSEAL 2012 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-x250gacjc11owfpftrj23a11/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00019,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2011,TPSEAL 2011 Annual Report,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-8nudabnx404lmqc01l01clu7r/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00020,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2010,TPSEAL 2010 Financial Results,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-3s1gbretse2p0go89ta53zxe3/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00021,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2009,TPSEAL 2009 Financial results,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-9w1261r90ovh2vmcrcnc3h66b/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00022,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2008,TPSEAL 2008 Financial Results,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-s7e0tr8t1fxa2gigoe02pbiu/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00023,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2024,TPSEAP 2024 Abridged Financial Statements,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-6kzwvarpqrq1iiuygil4k3ncd/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00024,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2023,TPSEAP 2023 Abridged Financial Statements,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-ad0t3z7ttjqexyr7o9nu1grc7/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00025,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2022,TPSEAP 2022 Annual Report.,https://www.serenahotels.com/about-us/governance,http://document-tc.galaxy.tf/wdpdf-dzxs9xb33c6vmruc4dlfdg5g8/file.pdf?download=true,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00026,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2022,TPSEAP 2022 Abriged Financial Statements,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-arhyuo6m8mqvbki6ptwd5vunq/file.pdf?download=true,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00027,TPS Eastern Africa PLC,TPSE,Annual / full-year,Annual report,2021,2021 TPSEAP Abridged Financial Statements,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-9rl05c654nszt29zofcgl4wv7/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00028,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,2019,2019_TPSEAP_Signed_Financial_Statements.pdf,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-5j9bft3z7yleeyu19nrxqle8x/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
NSE-00029,TPS Eastern Africa PLC,TPSE,Periodic results material,Financial results / statements,,TPSEAP_Abridged_Financial_Statements.PDF,https://www.serenahotels.com/about-us/governance,https://document-tc.galaxy.tf/wdpdf-4ei54rg92ancgi03sv4xi36ij/file.pdf,linked from source page,application/pdf (inferred from URL),Issuer-controlled CDN linked from issuer page
