record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2025,Kenya Power Integrated Annual Report 2025 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01KB4JTB49DXJ81DG79JVEE0M3.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2025,KPLC Abridged Annual Report for the year ended 30.6.2025 & AGM Notice for 2025 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01K9BVYVAZ6V5YFCJEKBW5C33W.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2025,The Kenya Power And Lighting Company PLC Audited Financial Results For The Year Ended 30 June 2025 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01K6Z8XAY9BAVJP0EQY2RYRS13.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2025,The Kenya Power And Lighting Company PLC Audited Financial Results For The Year Ended 30th June 2025 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01K6ZBC99ZEKTBW6XDZCXSD57M.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,The Kenya Power and Lighting Company PLC,KPLC,Semi-annual / half-year,Financial results / statements,2024,The Kenya Power And Lighting Company PLC Unaudited Trading Results For The Six Months Ended 31st December 2024 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01JJXQ4GVZAK3BRMNTZQPGJ19B.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2024,The Kenya Power And Lighting Company PLC Integrated Annual Report and Financial Statements for the Year Ended 30th June 2024 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01JDRPZS8NZ473CWE2XCSQ1REJ.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2024,The Kenya Power And Lighting Company PLC The Audited Financial Results For The Year Ended 30th June 2024 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01JBBBBHR4WNEZJST4AN0TS0MG.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2023,The Kenya Power And Lighting Company PLC The Audited Financial Results For The Year Ended 31st December 2023 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01J1A4XG081B37C8FM8X83RV64.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2023,Audited financial statements fy 30 june 2023 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01J301F5C2BJWMGTS9WXKYXRKN.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2023,Abridged annual report & agm notice -2023 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01J3017WESV3C7GN9WNBDNRNH3.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,The Kenya Power and Lighting Company PLC,KPLC,Annual / full-year,Annual report,2023,Annual report and financial statements for the year ended 30th june 2023 Download,https://www.kplc.co.ke/investor-relations/,https://www.kplc.co.ke/storage/01J2ZXDX1436PDPPRW8KQBCBVP.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
